year_month,consumer_confidence
2022M01,-1.5
2022M02,-3.2
2022M03,-14.4
2022M04,-20.9
2022M05,-22.4
2022M06,-24.8
2022M07,-25.6
2022M08,-25.1
2022M09,-32.1
2022M10,-37
2022M11,-30.4
2022M12,-28.9
2023M01,-26.1
2023M02,-25.1
2023M03,-23.1
2023M04,-18.2
2023M05,-15.1
2023M06,-10.9
2023M07,-10.1
2023M08,-10.9
2023M09,-13
2023M10,-11.8
2023M11,-10.3
2023M12,-13
2024M01,-8.4
2024M02,-7.4
2024M03,-7.6
2024M04,-8.6
2024M05,-6.5
2024M06,-4.4
2024M07,-5.4
2024M08,-7.4
2024M09,-6.8
2024M10,-8.9
2024M11,-9.3
2024M12,-13.1
2025M01,-11.7
2025M02,-14.5
2025M03,-15.5
2025M04,-17
2025M05,-18.4
2025M06,-15.1
2025M07,-15.7
2025M08,-17.2
2025M09,-18.7
2025M10,-19.5
2025M11,-20.1
2025M12,-17.3
