year_month,cpi_index
2022M01,89.29
2022M02,90.18
2022M03,90.76
2022M04,92.24
2022M05,93.08
2022M06,93.84
2022M07,94.88
2022M08,94.89
2022M09,96.12
2022M10,97.17
2022M11,96.31
2022M12,95.71
2023M01,96.15
2023M02,97.03
2023M03,96.91
2023M04,97.13
2023M05,95.82
2023M06,96.13
2023M07,97.9
2023M08,97.2
2023M09,96.96
2023M10,97.2
2023M11,96.86
2023M12,96.42
2024M01,97.3
2024M02,97.82
2024M03,97.82
2024M04,97.85
2024M05,97.86
2024M06,97.89
2024M07,98.99
2024M08,98.56
2024M09,98.21
2024M10,98.77
2024M11,98.46
2024M12,98.21
2025M01,98.75
2025M02,99.82
2025M03,99.33
2025M04,99.39
2025M05,99.44
2025M06,99.69
2025M07,101.17
2025M08,100.52
2025M09,100.41
2025M10,100.89
2025M11,100.49
2025M12,100.1
