date,holiday_name,year
2022-01-01,Nytaarsdag,2022
2022-04-14,Skaertorsdag,2022
2022-04-15,Langfredag,2022
2022-04-17,Paaskedag,2022
2022-04-18,2. Paaskedag,2022
2022-05-13,Store Bededag,2022
2022-05-26,Kristi Himmelfartsdag,2022
2022-06-05,Pinsedag,2022
2022-06-06,2. Pinsedag,2022
2022-12-24,Juleaftensdag,2022
2022-12-25,Juledag,2022
2022-12-26,2. Juledag,2022
2022-12-31,Nytaarsaften,2022
2023-01-01,Nytaarsdag,2023
2023-04-06,Skaertorsdag,2023
2023-04-07,Langfredag,2023
2023-04-09,Paaskedag,2023
2023-04-10,2. Paaskedag,2023
2023-05-05,Store Bededag,2023
2023-05-18,Kristi Himmelfartsdag,2023
2023-05-28,Pinsedag,2023
2023-05-29,2. Pinsedag,2023
2023-12-24,Juleaftensdag,2023
2023-12-25,Juledag,2023
2023-12-26,2. Juledag,2023
2023-12-31,Nytaarsaften,2023
2024-01-01,Nytaarsdag,2024
2024-03-28,Skaertorsdag,2024
2024-03-29,Langfredag,2024
2024-03-31,Paaskedag,2024
2024-04-01,2. Paaskedag,2024
2024-05-09,Kristi Himmelfartsdag,2024
2024-05-19,Pinsedag,2024
2024-05-20,2. Pinsedag,2024
2024-12-24,Juleaftensdag,2024
2024-12-25,Juledag,2024
2024-12-26,2. Juledag,2024
2024-12-31,Nytaarsaften,2024
2025-01-01,Nytaarsdag,2025
2025-04-17,Skaertorsdag,2025
2025-04-18,Langfredag,2025
2025-04-20,Paaskedag,2025
2025-04-21,2. Paaskedag,2025
2025-05-29,Kristi Himmelfartsdag,2025
2025-06-08,Pinsedag,2025
2025-06-09,2. Pinsedag,2025
2025-12-24,Juleaftensdag,2025
2025-12-25,Juledag,2025
2025-12-26,2. Juledag,2025
2025-12-31,Nytaarsaften,2025
