week_start,iso_year,iso_week,revenue_dkk,store_revenue_dkk,web_revenue_dkk,spend_leaflets,spend_online_video,spend_ooh,spend_programmatic_display,spend_search_brand,spend_search_nonbrand,spend_social_prospecting,spend_social_retargeting,spend_tv_linear,platform_revenue_leaflets,platform_revenue_online_video,platform_revenue_ooh,platform_revenue_programmatic_display,platform_revenue_search_brand,platform_revenue_search_nonbrand,platform_revenue_social_prospecting,platform_revenue_social_retargeting,platform_revenue_tv_linear,promo_depth_pct,temperature_c,precipitation_mm,consumer_confidence,cpi_index,n_stores,is_easter_week,is_great_prayer_week,is_ascension_week,is_whitmonday_week,is_christmas_week,revenue_was_interpolated
2022-01-03,2022,1,11194363.01,8823183.34,2371179.67,231383.45,56908.149999999994,49015.32000000001,73616.2341838,60779.909999999996,46682.69,78079.52,51818.786922800005,145616.03,0,113647.57,0,80722.8833472,194964.36,103591.57,232450.78,128382.6133046,0,0,2.442857142857143,16.549999999999997,-1.5,89.29,54,0,0,0,0,0,FALSE
2022-01-10,2022,2,11395284.79,8612973.79,2782311,177118.34,61384.869999999995,75624.33,99085.06,16287.977967599998,52817.078409199996,74623.89515919998,54164.5739714,236414.7515056,0,99148.13,0,104349.58999999998,45298.99604620001,112284.1528522,218116.17852319998,136538.99701639998,0,0,3.75,2.0999999999999996,-1.5,89.29,54,0,0,0,0,0,FALSE
2022-01-17,2022,3,11557861.139999999,9011097.12,2546764.02,121942.39,73431.11,150624.515632,73567.4436188,20302.7979768,69006.22466139999,80984.4839098,63990.5565148,391502.85,0,144493.88,0,85898.5145604,51518.2534468,146118.4667798,217299.80713159998,144756.5203082,0,0,3.185714285714286,4.249999999999999,-1.5,89.29,54,0,0,0,0,0,FALSE
2022-01-24,2022,4,17790892.56,13655652.66,4135239.9,176804.34999999998,108685.03,227027.3166046,99284.4585148,23077.331194600003,68286.91,97258.50768819998,63645.7906642,679796.3,0,248771.07,0,124459.6515084,69010.699369,168008.84,294457.1083256,157248.5085334,0,29,5.2785714285714285,6.05,-1.5,89.29,54,0,0,0,0,0,FALSE
2022-01-31,2022,5,15953696.360000001,12626869.030000001,3326827.3299999996,175007.01,153976.381186,387331.75,76441.62436819999,28102.5,75248.94058479999,96022.5591302,52697.8329984,888616.9400000001,0,277855.86909219995,0,98637.4585858,82188.82,165134.4782122,252515.6010208,140048.75888520002,0,0,3.3285714285714287,23.15,-1.5,89.29,54,0,0,0,0,0,FALSE
2022-02-07,2022,6,17521004.15,13833000.19,3688003.9600000004,182467.89,210641.91999999998,351400.76,94856.2871778,43851.17999999999,87503.39,146171.788538,66157.88,958467.534254,0,461990.79,0,111105.3561708,137789.52,182947.87,476031.7086952,168329.61000000002,0,19,3.607142857142857,2.75,-3.2,90.18,54,0,0,0,0,0,FALSE
2022-02-14,2022,7,16658663.950000001,13019747.05,3638916.9,159233.75,163595.77000000002,241949.4,94789.1397346,53252.56,78988.7084706,152011.58,54566.032635,1056147.67,0,335084.13,0,113347.8871222,164629.56,186693.87729379997,462461.93,148558.06822500002,0,0,4.557142857142857,43.60000000000001,-3.2,90.18,54,0,0,0,0,0,FALSE
2022-02-21,2022,8,18980754.439999998,14586679.01,4394075.43,193323.27,121334.26163359999,245601.52,93410.62275919999,59389.257537000005,77038.19999999998,165260.22,55121.7596436,804187.0944121999,0,225720.74813559998,0,101466.80440880002,197882.804381,189371.19000000003,479305.76000000007,136249.20827940002,0,28,3.871428571428571,22.9,-3.2,90.18,54,0,0,0,0,0,FALSE
2022-02-28,2022,9,16702164.719999999,12706074.86,3996089.8599999994,180226.25,136493.90999999997,151874,83236.55,54911.257704999996,70907.0621438,255575.87781920002,57142.509999999995,478098.07,0,245379.33000000002,0,96169.3,158315.1845612,166100.9094168,736047.3766926001,163837.53000000003,0,0,1.6142857142857143,0.05,-3.2,90.18,54,0,0,0,0,0,FALSE
2022-03-07,2022,10,17565095.66,13677461.51,3887634.1500000004,200119.01,101949.68000000001,110485.62,111284.87103159999,48536.86,93345.19,258724.5812596,65226.1160104,362087.05073260004,0,205810.50999999998,0,118467.57269480001,148267.12,183850.43,682320.476607,147958.5348924,0,21,2.6,0,-14.4,90.76,54,0,0,0,0,0,FALSE
2022-03-14,2022,11,17269043.97,13396918.95,3872125.02,217907.75,99437.20252799998,67702.609491,93196.0921578,42290.2704812,86541.9252178,179222.0800792,55156.880000000005,190576.11,0,193170.6070946,0,93328.86606019999,133760.50627100002,203251.7853388,549917.4133124,124922.57999999997,0,21,4.4714285714285715,2.1,-14.4,90.76,54,0,0,0,0,0,FALSE
2022-03-21,2022,12,17191192.529999997,13508911.639999999,3682280.89,176888.88999999998,123237.471051,88799.53,87059.1500764,27075.469999999998,82590.55,210581.65749599997,41983.873536600004,302007.11,0,224067.41212520003,0,104254.11690599998,86810.01,173184.96000000002,586357.5299233999,106550.1256606,0,0,6.214285714285714,0,-14.4,90.76,54,0,0,0,0,0,FALSE
2022-03-28,2022,13,16708467.790000001,13324792.07,3383675.72,150106.72,113230.22214859999,144099.51,81516.274572,25639.575348800005,87489.58297039999,127924.40999999999,67893.93000000001,429757.1725894,0,196001.0034022,0,92291.8264888,78131.89467919999,200337.2441038,364985.83999999997,182787.45,0,0,2.6714285714285717,3.2,-14.4,90.76,54,0,0,0,0,0,FALSE
2022-04-04,2022,14,23843911.830000002,18366883.380000003,5477028.45,281181.5,133818.437461,275079.0343436,68165.7918682,36301.880173000005,292992.31,125384.67276100001,78012.26000000001,289326.94,0,249998.7425862,0,91925.0676666,109933.7537086,636227.65,368867.86717579997,201384.49,0,0,4.692857142857143,28.300000000000004,-20.9,92.24,54,0,0,0,0,0,FALSE
2022-04-11,2022,15,25223083.43,19684672.1,5538411.33,376773.81999999995,176255.08251100004,383924.4509292,86717.32,36836.6441994,319169.9754022,103302.3877002,74445.56999999999,1074615.88,0,299172.0227416,0,120002.76,116330.1847288,717292.648923,329640.3193158,194869.84000000003,0,0,6.464285714285714,2.6,-20.9,92.24,54,1,0,0,0,0,FALSE
2022-04-18,2022,16,29049384.55,22810693,6238691.55,309278.85000000003,161911.83000000002,335818.12,109411.1809992,64672.4652216,334116.0337548,113383.56,79667.82707479999,1080318.46,0,361430.24,0,118874.1162806,206962.7510204,713663.2093802,344360.75,200862.17869680002,0,37,8.571428571428571,1.3,-20.9,92.24,54,1,0,0,0,0,FALSE
2022-04-25,2022,17,27058648.48,20608100.69,6450547.79,0,224973.53999999998,413689.13,71219.56,55862.2038632,272887.9,152851.24035500002,82772.2863052,1105003.91,0,470924.96,0,86838.08,169568.1782748,606994.62,376823.0413808,202278.759669,0,20,7.9714285714285715,1.45,-20.9,92.24,54,0,0,0,0,0,FALSE
2022-05-02,2022,18,25517003.52,20213339.72,5303663.8,342535.92000000004,184975.52648279996,268448.12,124567.0547672,69335.17066,317149.59,246350.1147548,79660.04,781341.1000000001,0,378028.20366999996,0,156988.01405539998,210068.8924748,692382.2799999999,666283.939828,211983.25999999998,0,0,10.214285714285714,0.95,-22.4,93.08,54,0,0,0,0,0,FALSE
2022-05-09,2022,19,25940528.630000003,20710211.71,5230316.92,315550.31,209766.223246,320961.13,84323.22457020001,48907.45,268367.39999999997,234482.933404,73449.4,1030125.57,0,389781.90741940006,0,97687.38805040001,141857.65,531514.24,731592.1480892,181175.32,0,0,11.878571428571428,12.3,-22.4,93.08,54,0,1,0,0,0,FALSE
2022-05-16,2022,20,25102479.81,19027756.43,6074723.38,0,236414.9858904,300634.24,114666.5619492,61477.10349179999,334067.6366236,185768.91,87290.986967,867967.4002596,0,463544.6367616,0,135017.8600858,196639.87658799998,822913.5231706001,547793.6,249456.11797700002,0,0,12.978571428571428,16.650000000000002,-22.4,93.08,54,0,0,0,0,0,FALSE
2022-05-23,2022,21,29464104.04,22981328.02,6482776.0200000005,356957.58,182190.46,335245.1,105237.27995800001,54839.5240602,306122.42000000004,258037.95360839998,80493.1,1319135.87,0,353965.97,0,112727.7154684,173489.8752438,713104.27,692928.9073593998,222382.59000000003,0,27,12.457142857142856,20.500000000000007,-22.4,93.08,54,0,0,1,0,0,FALSE
2022-05-30,2022,22,26490348.94,20201425.46,6288923.48,375964.15,220669.08,332531.82,109724.34,69749.3703966,220544.51081240003,175436.6652768,82655.05311620001,977015.51,0,425059.66,0,116860.26,218864.901509,453079.0312092,522952.97074099997,198047.6494164,0,0,12.128571428571428,17.950000000000003,-22.4,93.08,54,0,0,0,0,0,FALSE
2022-06-06,2022,23,27921359.480000004,22129970.560000002,5791388.92,311744.92,166695.503008,359321.97,73865.1,73126.5192308,337608.12,157069.3577492,68752.44,968135.01,0,285511.1463392,0,78806.95999999999,201055.0714662,697838.2799999999,397428.1196104,172864.7,0,19,14.742857142857142,16.45,-24.8,93.84,54,0,0,0,1,0,FALSE
2022-06-13,2022,24,20497432.91,16165356.37,4332076.540000001,362312.26,199955.3273614,315342.5,98437.5246832,61592.34090899999,270005.6908382,129428.96000000002,77554.1887734,723513.8999999999,0,386595.49730240006,0,120506.9020934,206187.1572132,650699.9560906,412311.93,181364.0844314,0,0,14.857142857142858,14.85,-24.8,93.84,54,0,0,0,0,0,FALSE
2022-06-20,2022,25,25394055.090000004,19718094.28,5675960.8100000005,259450.28,183420.98125659997,187594.9342526,97300.56381580001,60398.17,300727.17502699996,98826.6042816,91828.62,420483.35,0,388812.98048300005,0,108001.66731720002,158384.16999999998,670765.9373642,300100.6511772,205776.06,0,0,16.75,4.3,-24.8,93.84,54,0,0,0,0,0,FALSE
2022-06-27,2022,26,26264974.93,21103333.1,5161641.83,325849.53,119327.9295556,96395.27,90178.84453739999,34149.3809266,241908.5175296,73980.7967458,86575.54275600001,295317.7421442,0,229699.71656059998,0,112059.6115922,96461.5138944,544617.2108126,235112.2793764,241336.9559276,0,29,17.821428571428573,21.8,-24.8,93.84,54,0,0,0,0,0,FALSE
