dato;butiksomsaetning_dkk;webshop_omsaetning_dkk
08/03/2025;3057131,89;851520,64
11/09/2024;1819461,86;373425,21
06/11/2025;1554455,78;527157,94
07/08/2022;1420984,30;387383,30
11/12/2024;3254170,67;864027,34
08/04/2024;2917228,76;956705,85
18/11/2023;2523661,36;806394,61
06/02/2025;2211019,65;473807,55
26/09/2023;1460200,23;464563,48
22/08/2025;1972632,07;671945,41
25/04/2024;2990945,08;860177,15
02/09/2025;1605034,86;449237,39
21/02/2025;2409140,03;727804,20
06/01/2024;2081346,31;547631,85
16/10/2022;1152938,07;269040,36
31/12/2023;1701807,28;389358,06
27/12/2023;1555517,99;489793,08
07/06/2024;3692532,96;1126432,43
03/09/2023;1274619,20;443175,45
12/08/2024;1505013,80;371212,40
03/05/2023;3011593,11;906108,19
31/12/2022;2776917,84;673027,23
30/07/2024;1763486,78;410362,72
16/10/2025;1646164,09;500041,90
29/10/2024;1484867,38;345302,98
30/05/2023;2772322,00;629413,88
16/05/2023;2627600,50;683809,96
22/01/2024;1522170,07;430044,34
14/08/2023;1228844,07;518264,77
27/09/2024;1889039,37;671902,54
24/12/2024;1150048,48;359409,66
08/07/2023;2857433,39;748160,56
21/07/2024;1372120,62;468875,28
15/02/2024;1731663,72;501088,05
01/08/2022;1251767,91;316294,72
05/12/2022;1261139,66;363533,83
28/02/2023;1473443,38;406747,35
28/01/2022;2149291,80;638758,52
18/06/2023;2433487,07;793838,72
22/10/2023;1281409,73;431661,57
12/08/2025;1677860,95;463670,10
02/01/2023;939129,35;202848,86
24/07/2025;1735440,08;579899,71
23/10/2022;1251300,17;397116,70
24/12/2022;2884132,90;774942,83
09/06/2023;3566450,45;1002841,86
04/09/2022;1452340,53;407604,75
16/01/2023;1011694,15;206604,51
24/05/2022;2841088,59;804767,67
20/07/2024;3019586,95;880365,92
11/04/2025;3626645,96;652524,47
24/06/2023;4712134,59;1393908,22
09/11/2024;2913269,42;594170,89
05/11/2023;1370118,53;429879,64
18/05/2023;3006235,85;813456,86
24/07/2023;1265145,56;329749,21
12/08/2023;2319977,95;726262,72
13/09/2024;2026752,24;495615,81
11/09/2025;1972055,14;515775,16
17/02/2022;1803011,89;442578,32
10/06/2022;3948006,16;740595,16
18/10/2022;1336010,17;404241,35
19/04/2024;4059617,11;1297883,70
02/11/2025;1474033,68;430092,95
12/06/2023;2358363,25;656215,18
21/09/2023;1662215,67;416223,18
31/08/2022;1501668,59;333514,93
25/01/2022;1745841,82;364560,28
02/08/2024;2274517,17;595003,78
21/10/2024;1357546,24;347713,29
08/02/2024;1677431,97;620148,92
11/01/2025;2317539,76;640604,58
28/11/2023;2848282,87;576385,40
25/07/2023;1407811,41;327639,90
18/03/2024;1613062,45;519071,45
02/11/2022;1589702,94;408332,76
14/09/2023;1941522,61;432346,25
09/10/2022;1217938,24;357826,92
15/05/2023;2416257,23;771670,72
11/03/2022;2158404,78;530263,88
08/09/2025;1442760,78;387622,69
17/06/2025;2623864,34;731548,96
25/01/2023;1580055,09;308918,95
28/07/2024;1407431,82;478769,45
01/04/2023;2881121,87;815741,49
10/03/2023;1960404,03;658297,20
15/07/2022;1687062,58;483157,74
22/06/2024;5362906,64;1516866,81
06/01/2023;1453387,41;318298,63
24/11/2022;3253854,67;764221,84
10/05/2022;2369704,19;687499,77
11/12/2022;1320788,68;521536,98
29/04/2025;2986257,68;977534,40
12/06/2022;2479934,84;847686,11
26/02/2023;1666209,82;449182,21
21/01/2024;1086742,33;398034,90
17/02/2023;1782408,83;622497,82
16/11/2023;1760032,60;401647,50
04/09/2023;1320432,19;333460,90
20/02/2024;1618155,83;518652,66
26/08/2025;1523111,15;399524,63
06/12/2024;2175014,35;631258,83
21/07/2022;1561846,54;385542,87
22/04/2025;2995891,78;613909,31
29/11/2022;2900908,98;1126862,39
11/10/2025;2686506,75;596761,91
06/06/2023;2584967,02;907273,30
27/12/2022;1370010,44;460188,46
13/05/2025;2915956,89;795192,33
30/06/2024;2387012,04;739610,52
30/05/2022;2162817,34;808558,87
02/06/2025;2306432,02;746454,52
18/01/2023;1058220,05;276745,23
14/07/2022;1528010,18;432047,73
24/02/2025;1525716,93;508117,60
22/12/2022;1682371,22;578685,65
06/07/2025;2261408,91;617747,09
12/02/2022;3182818,79;856905,23
10/07/2025;1822494,10;568574,45
22/08/2023;1340620,36;466695,99
23/02/2023;1738383,61;514825,64
29/03/2025;3455898,26;669529,52
04/01/2025;3018936,54;843391,72
23/03/2024;2906551,30;752654,84
09/02/2024;2026377,32;568559,51
10/06/2025;2825188,96;625118,35
01/09/2024;1632378,51;565399,09
19/04/2025;5821838,41;1584469,70
05/04/2022;2215546,33;530271,92
25/03/2024;2034268,63;478585,54
11/06/2023;2531627,95;816978,00
23/07/2025;1671614,57;509831,59
14/01/2024;1172142,68;340780,31
14/11/2025;2176776,41;476119,66
04/03/2022;2123116,21;618412,45
18/12/2023;1441273,19;358514,73
22/02/2023;1528578,44;536882,17
28/08/2024;2043260,84;428612,72
17/08/2024;2879939,64;1048459,54
26/02/2022;3295346,46;598149,31
22/10/2024;1460588,21;522131,01
20/05/2024;2781729,86;920561,89
09/08/2024;1938685,85;515835,12
13/01/2022;1200696,38;393140,69
02/10/2023;1151586,40;379353,89
12/11/2025;1602175,35;385690,81
25/10/2023;1427767,58;471504,63
25/03/2022;2016736,57;611161,42
13/06/2025;3838678,12;1166527,86
01/08/2025;2084472,82;476518,20
20/01/2024;2352537,35;759553,66
04/06/2024;2643268,98;866019,48
21/06/2025;5457210,40;1007807,07
11/02/2024;1603607,51;465269,13
01/05/2023;2443560,06;631998,86
27/01/2025;1430187,10;483374,17
01/05/2022;2180003,26;862802,52
27/04/2024;4947111,12;1978075,36
28/02/2022;1294322,45;409189,29
23/06/2022;2856016,01;930674,39
25/03/2023;2772011,51;805129,12
08/08/2023;1247736,83;410302,48
09/07/2022;2785868,95;851220,34
26/01/2024;2193326,46;426396,38
13/12/2025;4769246,41;1215093,90
19/12/2022;1543665,54;447760,48
15/04/2023;5618885,34;1316300,12
23/10/2025;1773900,91;421362,01
05/04/2025;3315171,26;808609,92
17/10/2024;1780689,55;479353,36
22/11/2024;4642143,36;1228687,89
19/02/2023;1628394,62;473659,26
13/01/2023;1419923,35;413309,38
15/12/2023;2920266,02;906314,35
02/07/2022;4792237,83;964314,53
13/05/2024;2529105,45;691243,32
31/10/2025;2072863,37;560338,75
10/11/2025;1446031,72;435363,37
13/04/2023;3208196,67;1069886,49
10/12/2022;2362604,56;695120,73
15/10/2024;1445075,66;398740,04
06/09/2023;1498742,61;415355,13
22/12/2025;899081,23;378411,89
04/08/2022;1581804,93;389145,21
20/09/2023;1661252,86;399679,08
14/05/2024;2883931,75;611190,83
14/03/2023;1520912,59;445738,79
19/12/2024;2991045,57;888987,57
23/05/2024;3937442,67;679396,66
29/11/2023;3111943,21;805980,72
14/08/2025;1703963,41;623657,05
24/10/2024;1759351,73;535512,38
05/04/2023;3283680,82;711969,13
27/08/2022;2675715,23;706942,46
13/03/2024;1638879,06;710510,96
02/02/2024;2066773,39;721587,83
05/04/2024;3301462,71;949064,29
18/03/2023;2891506,64;746013,70
14/10/2022;1529181,18;509741,15
20/12/2022;1775995,50;417523,35
19/03/2024;1692111,21;432088,10
27/05/2024;2720775,76;747450,34
10/07/2022;1435762,81;359318,09
13/08/2022;2542436,91;519253,72
26/11/2024;3539202,52;999548,94
15/07/2023;2608616,15;603547,50
27/05/2023;4416582,66;1328944,81
05/11/2025;1605703,12;492776,69
30/01/2024;1695161,59;352389,55
07/10/2025;1377306,58;371854,67
04/04/2023;2474515,31;593270,73
01/03/2025;3164131,28;897758,96
28/09/2024;2936110,71;577174,65
18/10/2025;2778647,65;733803,74
19/11/2023;1417820,07;389949,01
06/05/2024;2511111,06;752059,30
11/06/2024;2674977,75;799309,95
22/07/2022;1808358,73;560597,21
03/01/2023;1102421,19;245418,70
02/05/2022;2111716,17;577317,33
13/02/2024;1513232,21;465624,39
30/09/2022;1549108,44;452451,94
04/11/2025;1452867,22;447839,57
12/12/2024;2848251,52;1126551,52
31/01/2023;1435606,01;345583,79
01/11/2025;2585014,57;893473,64
26/08/2022;1956762,54;460006,60
03/03/2023;2033974,60;533708,48
13/11/2023;1255099,38;451921,82
31/05/2025;5671803,39;1734758,47
09/03/2025;1702730,45;470179,19
08/06/2025;2627997,27;808378,25
25/01/2024;1680642,23;439892,50
11/02/2023;2718615,39;791603,52
02/04/2023;1559641,62;315882,36
04/10/2022;1070003,74;433876,51
04/06/2023;2506745,68;741460,83
02/06/2024;2867868,94;600964,75
26/10/2023;1617631,54;440372,97
27/11/2023;2391032,99;756641,58
07/06/2023;2460556,61;893595,24
19/05/2022;2487625,06;809193,59
10/08/2022;1409176,77;383820,31
22/01/2022;2115509,29;545007,51
26/03/2025;1904337,48;464201,56
31/05/2022;2316521,78;841914,18
29/06/2023;2628346,59;825153,47
03/06/2022;3217637,12;1039257,36
21/05/2025;2715268,42;740975,15
18/04/2024;3513898,50;875941,73
08/12/2023;1792235,60;725214,09
07/02/2025;2236877,28;765146,23
19/07/2022;1283949,63;352601,13
03/12/2022;5328560,21;1606134,20
16/10/2024;1614624,23;557205,64
06/03/2025;1969921,36;630815,56
10/09/2022;2495981,11;775932,08
07/04/2024;2627364,58;836333,87
22/10/2025;1417732,30;447759,51
04/04/2022;2049085,50;662477,54
02/10/2022;1269179,30;367541,88
06/07/2022;1546955,82;467283,75
04/09/2024;1925593,28;422091,72
01/05/2025;3254901,96;977317,20
27/09/2023;1472488,27;480451,34
25/06/2023;2207022,59;685024,76
05/03/2025;1766690,15;539721,48
04/12/2022;2836051,46;1013138,04
19/03/2023;1490450,40;412733,68
04/07/2022;1385834,38;455229,15
10/03/2024;1818488,66;399412,42
06/04/2025;1834730,15;516460,53
09/10/2024;1476239,69;549485,99
06/03/2024;1875450,29;467216,27
26/01/2025;1937805,27;381892,26
15/04/2024;2469572,59;765162,90
16/01/2025;1558369,49;388190,55
15/09/2024;1435617,28;387746,67
05/12/2025;2018205,19;621006,49
16/03/2022;1612949,03;507923,49
12/09/2025;1991454,93;454691,56
02/05/2023;2741639,17;694339,66
17/02/2024;2849815,75;872584,61
21/06/2024;4012889,45;968408,09
16/10/2023;1252145,41;352017,06
15/06/2024;4861081,43;1925434,47
17/06/2022;3201440,31;911643,23
05/08/2023;2340529,30;867947,21
15/01/2025;1369021,30;403351,36
14/12/2024;4808578,45;1255341,37
23/12/2024;1040959,98;296847,91
20/08/2023;1399437,73;348738,29
12/06/2024;2887237,53;1030008,50
17/12/2023;2351319,56;566300,04
29/09/2024;1433311,60;405484,52
03/11/2023;2097839,11;542354,35
14/12/2025;2643117,75;843961,91
12/07/2025;2626150,07;913515,41
29/09/2023;1735063,44;406298,14
26/12/2025;1472823,19;565888,66
12/01/2024;1621153,89;507602,00
16/07/2025;1685452,08;457908,46
13/08/2025;1471551,80;594645,46
16/09/2025;1499065,90;500272,18
06/10/2024;1476242,84;352776,56
16/01/2024;1158864,79;388558,99
26/08/2024;1583833,94;378331,82
24/02/2023;2096890,05;596531,11
19/02/2022;2683449,33;766123,17
15/01/2023;1069234,31;299825,83
22/06/2025;2618075,02;737663,44
22/02/2024;1911024,85;502390,08
08/04/2023;5262999,37;1431180,08
25/04/2022;2364072,52;670099,57
01/09/2025;1437240,26;408317,39
20/08/2025;1915107,64;598507,24
06/07/2024;3335311,70;780217,60
03/10/2022;1152677,60;340090,72
14/10/2023;2180959,64;690283,41
10/02/2025;1440327,14;445956,94
21/11/2025;4331594,40;1488597,23
04/10/2024;2109980,85;559676,46
29/10/2022;2420828,25;590814,02
09/07/2025;1564814,18;418229,21
28/10/2025;1399080,95;492548,25
30/08/2024;2053442,81;653583,92
08/07/2025;1600250,89;356072,61
10/12/2024;2820045,35;939416,24
28/01/2023;2327987,43;638010,05
17/11/2022;1607906,78;326899,55
14/02/2024;1630089,83;453783,97
08/02/2023;1583740,74;433848,76
12/11/2023;1270652,18;409356,43
23/03/2022;1620703,02;478077,84
27/05/2025;3279028,45;613851,13
06/06/2025;3607107,11;911410,78
31/03/2024;2058165,04;652850,73
29/08/2022;1156325,59;418948,06
03/01/2025;2107087,66;591319,59
07/03/2024;2002091,40;535925,84
23/01/2025;1796193,16;554672,98
18/08/2024;1484556,81;446912,45
09/01/2022;1013518,90;293638,35
20/10/2025;1412309,38;358909,34
24/10/2022;1075741,67;337470,03
06/11/2024;1620641,47;404570,19
27/08/2024;1688096,21;412428,68
07/09/2023;1624124,16;421836,01
13/08/2024;1476477,44;406594,46
06/01/2025;1285273,24;251655,07
31/03/2022;1832555,28;386672,94
26/12/2022;1472213,61;334015,80
03/03/2024;1852628,34;318784,07
30/03/2024;3672477,67;796547,10
15/04/2022;3587551,67;922760,70
18/02/2022;2141484,87;481354,09
01/07/2022;3449426,48;843003,42
21/12/2022;1730420,82;458911,97
10/05/2023;2743367,93;881968,23
15/01/2022;1843527,76;643497,58
09/12/2024;2370834,91;698738,34
01/10/2023;1364015,06;409877,66
10/08/2024;2902127,17;863796,22
08/06/2022;2951492,63;587950,17
04/07/2024;1767362,16;598014,63
14/08/2024;1880158,27;444802,68
24/11/2024;3187084,21;936415,79
15/10/2022;2250193,63;670564,22
25/03/2025;1838663,00;403540,52
16/05/2022;2188391,62;638459,31
25/11/2025;3021028,87;917396,94
09/04/2023;3151851,56;772667,24
25/02/2023;2846002,16;883309,78
08/01/2022;1829423,24;602765,90
20/09/2025;2653925,53;829225,42
07/12/2022;1629154,67;435802,63
24/04/2024;2890002,05;824142,06
02/04/2025;1703264,25;552295,60
03/07/2025;2606349,26;958703,69
01/04/2025;1822969,90;399781,16
23/07/2023;1338199,73;259671,86
03/05/2025;5230871,11;1380546,11
02/01/2024;1226637,69;203908,40
30/10/2023;1286921,07;381432,39
01/07/2025;2509214,00;692946,85
20/11/2024;4293142,13;734769,66
15/12/2025;2483906,38;720421,71
12/09/2023;1507712,15;376186,35
17/07/2024;1817892,03;370713,81
15/10/2023;1413131,57;311817,43
10/07/2024;1836359,45;480185,48
22/09/2022;1541974,76;459733,45
03/11/2022;1698611,85;410191,60
02/11/2023;1527008,40;455849,50
23/03/2023;1960153,59;541784,68
19/06/2022;2364701,67;635110,29
14/12/2023;2907351,82;516198,98
27/09/2025;2528888,58;816520,35
05/12/2024;1938673,37;510713,82
16/01/2022;1005132,33;339373,46
20/07/2025;1590304,84;387242,73
16/06/2022;2742400,28;708728,97
17/08/2023;1729203,33;489604,33
16/08/2024;2214964,96;575406,26
28/04/2024;2516789,31;732496,71
14/07/2024;1597854,20;357634,21
04/01/2024;1271260,62;502143,56
10/04/2022;2242683,19;506141,11
12/01/2022;1133527,86;354789,54
02/09/2022;1880585,72;548087,55
25/07/2025;2065475,07;581474,29
12/02/2025;1756759,07;474972,93
19/07/2024;2096414,02;507524,62
22/03/2023;1756335,76;412464,84
10/07/2023;1384116,10;389214,93
26/11/2022;5185463,96;1701793,23
07/11/2025;2012522,74;529612,27
17/06/2024;2815413,19;699398,40
19/04/2023;2724625,10;1039035,06
17/03/2022;1765075,90;521232,98
01/06/2025;2777107,89;754783,49
25/09/2024;1675528,09;487688,98
29/12/2025;1579115,41;410665,29
21/10/2022;1740588,56;545768,52
06/07/2023;1606585,60;612218,40
30/03/2023;1818004,69;518009,56
18/08/2022;1766165,56;458841,45
28/04/2023;3195856,09;949633,33
27/02/2022;1792100,31;518382,50
15/11/2022;1338493,26;284171,55
26/03/2023;1390704,12;474512,94
03/01/2022;975434,29;210648,16
03/05/2024;4039214,20;992537,91
22/11/2025;6095842,46;2110063,93
26/10/2025;1436281,42;405506,35
27/08/2025;1549641,07;458856,44
26/04/2022;2469585,56;661623,34
23/08/2022;1215284,57;457061,44
06/01/2022;1264358,81;340731,08
10/11/2023;1946259,55;644920,30
15/11/2025;2932216,21;912227,67
03/08/2023;1527962,39;405291,28
01/11/2024;2283041,52;493355,45
03/11/2024;1465037,64;458582,59
25/08/2025;1335410,29;398662,75
07/08/2024;1566019,74;549529,15
30/08/2025;2499246,86;755012,32
14/09/2025;1606909,16;332524,40
26/01/2024;2193326,46;426396,38
23/11/2024;6596010,33;1591490,26
18/09/2024;1640523,36;444661,96
09/05/2024;3337387,62;1214104,69
30/12/2022;2187665,63;476492,69
24/11/2023;4491735,98;1075752,36
05/09/2022;1268141,73;326757,96
11/06/2022;4568947,52;1224971,08
15/07/2025;1593580,10;424822,69
18/11/2022;1812727,11;465987,20
18/05/2025;3308213,28;783326,06
30/10/2022;1334085,52;361256,79
26/05/2023;3236409,89;874871,04
24/06/2022;3078316,02;817459,03
26/09/2025;1797450,70;374030,49
27/02/2025;2166250,56;550862,08
20/02/2025;1877029,52;470515,99
24/04/2025;3315465,65;1093368,20
