kampagne;omkostning;klik;visninger;konverteringer;konv_vaerdi;dato;currency
Havehjornet_Search_NonBrand_Havesaeson_202206;22401.94;2494;98584;85;47495.64;04-06-2022;DKK
HAVEHJ_Search_Brand_Alm_202502;2495.16;366;7266;11;8568.15;18-02-2025;DKK
HH_Search_NonBrand_Alm_202408_kopi;8564.71;987;28993;25;21504.78;23-08-2024;DKK
HH_Search_NonBrand_Alm_202209_kopi;5625.68;1043;15425;20;12020.15;13-09-2022;DKK
Havehjornet_Search_NonBrand_Alm_202502;8163.97;1287;24740;25;25067.33;18-02-2025;DKK
HH_Search_Brand_Havesaeson_202405;11212.54;1382;51985;50;31771.10;20-05-2024;DKK
HH_Search_NonBrand_Alm_202408;12142.13;1769;58094;43;27192.44;12-08-2024;DKK
HH_Search_Brand_Alm_202510;4101.46;671;11130;19;13043.45;19-10-2025;DKK
HH_Search_NonBrand_Alm_202208_kopi;15273.37;2004;59787;46;30775.02;13-08-2022;DKK
Havehjornet_Search_NonBrand_Alm_202310;10280.73;2438;51606;31;22835.75;17-10-2023;DKK
hh_dk_Search_Brand_Alm_202201;5245.48;803;18066;25;14532.64;14-01-2022;DKK
hh_dk_Search_Brand_Alm_202301;9605.46;2140;26077;49;32482.09;08-01-2023;DKK
HAVEHJ_Search_NonBrand_Alm_202208;3921.30;927;13705;14;9325.42;20-08-2022;DKK
HAVEHJ_Search_Brand_Alm_202502;12930.09;2368;66208;66;38167.23;04-02-2025;DKK
Havehjornet_Search_Brand_Havesaeson_202306;8014.20;1548;27898;39;24411.98;18-06-2023;DKK
hh_dk_Search_NonBrand_Alm_202401;20249.71;4901;81815;63;37666.43;10-01-2024;DKK
HH_Search_NonBrand_Alm_202403;29445.27;4980;84021;88;54245.92;16-03-2024;DKK
HH_Search_NonBrand_BlackFriday_202411_kopi;17457.83;3233;100169;51;25474.99;01-11-2024;DKK
Havehjornet_Search_Brand_Alm_202410;943.33;1016;21128;33;3471.16;19-10-2024;EUR
HAVEHJ_Search_Brand_Alm_202502;4799.72;1023;18642;24;15562.44;17-02-2025;DKK
HH_Search_Brand_Alm_202308_kopi;5133.41;695;22283;25;14551.58;19-08-2023;DKK
hh_dk_Search_NonBrand_Alm_202503;11740.87;1316;46279;35;31428.44;26-03-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202310;10674.96;2217;43519;31;28546.74;10-10-2023;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202405;15564.64;2157;76751;61;33622.09;20-05-2024;DKK
HH_Search_NonBrand_Havesaeson_202505;46623.85;9224;203980;169;104753.91;03-05-2025;DKK
Havehjornet_Search_NonBrand_BlackFriday_202511;25699.87;3285;81200;80;50516.81;13-11-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202510;10936.12;1502;67364;36;20466.52;30-10-2025;DKK
HAVEHJ_Search_Brand_Alm_202402;4451.19;1049;20265;19;12274.27;10-02-2024;DKK
Havehjornet_Search_Brand_BlackFriday_202511;9549.52;1168;41682;39;29025.83;19-11-2025;DKK
HAVEHJ_Search_Brand_BlackFriday_202211;6718.29;1205;23248;33;19634.98;19-11-2022;DKK
HH_Search_NonBrand_Havesaeson_202205;3944.52;714;22812;12;9578.61;11-05-2022;DKK
Havehjornet_Search_NonBrand_Alm_202209_kopi;4909.38;611;21569;16;11052.23;20-09-2022;DKK
Havehjornet_Search_Brand_BlackFriday_202311_kopi;828.80;1115;20254;29;2377.46;06-11-2023;EUR
Havehjornet_Search_NonBrand_Alm_202408;28694.65;3416;74332;105;45650.73;30-08-2024;DKK
hh_dk_Search_Brand_Alm_202401;2751.82;564;7984;14;9250.02;24-01-2024;DKK
HH_Search_Brand_Alm_202503;3696.91;480;17787;16;12581.73;23-03-2025;DKK
hh_dk_Search_NonBrand_BlackFriday_202211_kopi;4170.90;4345;110582;109;10205.60;11-11-2022;EUR
hh_dk_Search_NonBrand_Havesaeson_202205;20815.52;4082;71311;78;39386.81;24-05-2022;DKK
HAVEHJ_Search_Brand_Alm_202202;6713.25;1057;20943;28;27767.91;08-02-2022;DKK
HAVEHJ_Search_Brand_Alm_202503;3457.21;458;18121;18;8704.52;17-03-2025;DKK
Havehjornet_Search_Brand_Alm_202308;3614.29;447;15204;18;11665.18;15-08-2023;DKK
Havehjornet_Search_NonBrand_Alm_202408_kopi;6460.57;1590;29599;25;15810.69;02-08-2024;DKK
hh_dk_Search_Brand_Alm_202503;19743.52;3985;57016;82;66592.62;03-03-2025;DKK
hh_dk_Search_Brand_Alm_202201;1677.54;228;6380;8;3819.05;11-01-2022;DKK
Havehjornet_Search_NonBrand_Alm_202207;6789.21;861;19456;25;13377.50;10-07-2022;DKK
HAVEHJ_Search_Brand_Havesaeson_202506_kopi;10776.65;2205;30150;54;44609.95;18-06-2025;DKK
HAVEHJ_Search_Brand_Havesaeson_202304;4549.29;670;12665;24;11310.94;05-04-2023;DKK
HAVEHJ_Search_Brand_Alm_202403;6999.77;1039;30060;32;17573.96;11-03-2024;DKK
HH_Search_Brand_Alm_202310;12197.81;1364;32821;53;28809.09;30-10-2023;DKK
HH_Search_NonBrand_Alm_202310;5202.83;652;31395;16;12081.45;13-10-2023;DKK
HH_Search_NonBrand_Havesaeson_202505;20294.88;2592;113128;60;35389.14;04-05-2025;DKK
HAVEHJ_Search_Brand_Alm_202210;4282.54;869;16934;21;8627.60;23-10-2022;DKK
HH_Search_Brand_Alm_202402;18290.98;2861;83284;96;48282.12;06-02-2024;DKK
hh_dk_Search_Brand_Alm_202402;3251.23;458;8506;14;8771.31;12-02-2024;DKK
hh_dk_Search_NonBrand_Alm_202310;20436.97;3498;54402;69;46236.92;07-10-2023;DKK
HH_Search_NonBrand_Alm_202402;7725.51;1512;33705;25;20003.11;02-02-2024;DKK
Havehjornet_Search_Brand_Alm_202403;534.74;560;25940;16;1685.48;21-03-2024;EUR
hh_dk_Search_Brand_Havesaeson_202206;14613.95;1669;38615;66;38920.20;26-06-2022;DKK
HAVEHJ_Search_Brand_Alm_202407;5609.05;1235;15465;23;16531.89;13-07-2024;DKK
Havehjornet_Search_Brand_Jul_202412_kopi;8823.41;1723;52175;38;27238.65;23-12-2024;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202304;14804.96;1849;40008;51;38440.43;02-04-2023;DKK
HH_Search_NonBrand_BlackFriday_202511;2107.06;402;6655;7;5295.26;04-11-2025;DKK
HAVEHJ_Search_Brand_Havesaeson_202504;6957.96;822;23986;36;20014.53;13-04-2025;DKK
Havehjornet_Search_NonBrand_Alm_202202;4923.81;647;24711;15;12046.44;26-02-2022;DKK
Havehjornet_Search_Brand_Jul_202412;955.98;1287;41039;30;2619.43;21-12-2024;EUR
hh_dk_Search_Brand_Havesaeson_202206;8277.12;1158;20693;45;19573.84;27-06-2022;DKK
hh_dk_Search_NonBrand_BlackFriday_202411;2197.06;2454;41105;48;4054.56;21-11-2024;EUR
HAVEHJ_Search_NonBrand_Alm_202507;711.76;621;14268;21;1685.13;11-07-2025;EUR
Havehjornet_Search_Brand_Jul_202312;7000.69;1128;23142;35;24268.91;10-12-2023;DKK
HAVEHJ_Search_Brand_Alm_202203_kopi;1112.50;1817;32440;43;3521.00;20-03-2022;EUR
HH_Search_NonBrand_Havesaeson_202506;21799.88;3465;87391;69;41218.91;24-06-2025;DKK
Havehjornet_Search_NonBrand_Alm_202503;13891.41;1632;59424;40;34772.33;06-03-2025;DKK
HAVEHJ_Search_NonBrand_Alm_202303;15114.74;3020;96923;51;33250.05;14-03-2023;DKK
hh_dk_Search_NonBrand_Alm_202402_kopi;409.77;387;7691;11;663.75;01-02-2024;EUR
HAVEHJ_Search_NonBrand_Havesaeson_202406;33616.69;5646;165080;99;79072.95;27-06-2024;DKK
HH_Search_NonBrand_Havesaeson_202406;15924.61;3449;46599;54;37191.64;29-06-2024;DKK
HH_Search_Brand_Havesaeson_202306;3101.14;346;7757;15;13287.60;10-06-2023;DKK
HAVEHJ_Search_NonBrand_Havesaeson_202406;9021.73;1992;46769;34;16333.50;19-06-2024;DKK
hh_dk_Search_Brand_Alm_202209;1685.80;1500;38547;62;5473.75;21-09-2022;EUR
HAVEHJ_Search_NonBrand_Alm_202203;16900.83;3282;104788;55;43983.60;05-03-2022;DKK
HAVEHJ_Search_NonBrand_Alm_202309;5772.30;994;15543;23;10387.51;09-09-2023;DKK
HH_Search_NonBrand_Alm_202502;6058.54;1012;18948;21;11079.19;26-02-2025;DKK
HH_Search_NonBrand_Alm_202202;7543.96;878;41886;27;15212.43;17-02-2022;DKK
HH_Search_Brand_Alm_202302;7682.93;1323;42448;36;25366.02;17-02-2023;DKK
HH_Search_NonBrand_BlackFriday_202311_kopi;5871.16;1066;20591;17;13758.03;19-11-2023;DKK
Havehjornet_Search_Brand_Alm_202403;4572.12;984;13708;19;12229.88;24-03-2024;DKK
hh_dk_Search_Brand_Havesaeson_202406;3237.61;564;10600;17;10836.23;24-06-2024;DKK
hh_dk_Search_Brand_Havesaeson_202504;5114.61;946;16798;21;14766.57;22-04-2025;DKK
HAVEHJ_Search_NonBrand_Jul_202412;43351.88;5940;110864;151;92396.07;15-12-2024;DKK
hh_dk_Search_Brand_Alm_202303;7594.66;1535;22521;31;15369.04;01-03-2023;DKK
hh_dk_Search_Brand_Havesaeson_202204;7677.07;1273;35057;35;24423.01;10-04-2022;DKK
HH_Search_Brand_Alm_202502_kopi;2839.69;390;11403;13;8183.95;20-02-2025;DKK
HAVEHJ_Search_Brand_Alm_202310;547.47;503;21556;20;1633.21;06-10-2023;EUR
Havehjornet_Search_NonBrand_Alm_202509_kopi;7798.31;1270;29408;30;14475.10;06-09-2025;DKK
hh_dk_Search_Brand_Alm_202402;1926.99;234;6030;10;6260.46;20-02-2024;DKK
HAVEHJ_Search_Brand_Alm_202207;7423.68;834;32664;36;22122.55;04-07-2022;DKK
Havehjornet_Search_NonBrand_Havesaeson_202305;25678.91;5996;83753;92;52036.83;10-05-2023;DKK
HAVEHJ_Search_Brand_Havesaeson_202305;4536.64;893;29550;20;15097.80;30-05-2023;DKK
