uge;oplag;distributionsomkostning_dkk;trykomkostning_dkk
17.06.2024;608929;254460,52;61311,54
22.07.2024;437442;169370,21;45381,62
02.06.2025;988638;300745,95;64410,84
08.12.2025;599069;241463,16;67361,79
31.01.2022;418740;141678,93;33328,08
01.01.2024;466775;154262,31;39402,77
16.06.2025;884971;258804,17;80031,67
12.06.2023;1030081;285713,30;70571,49
23.12.2024;521062;138032,89;42474,64
02.10.2023;432277;132225,63;16359,86
09.05.2022;844006;248435,31;67115,00
21.10.2024;373623;129603,30;27647,83
23.01.2023;366223;165896,47;41213,86
27.05.2024;682197;269676,46;62672,84
27.01.2025;305280;132683,00;29976,10
12.12.2022;571761;242536,88;30565,54
14.11.2022;558869;167863,03;34304,79
30.05.2022;698361;298335,58;77628,57
09.09.2024;438847;156767,07;36033,32
21.08.2023;538047;179636,18;29625,22
30.01.2023;447745;130594,85;20682,45
17.07.2023;435950;169492,69;45582,63
02.09.2024;447209;156581,44;20865,96
14.08.2023;343469;159692,49;36904,29
05.02.2024;468401;150710,20;42481,79
25.03.2024;375973;128367,70;20221,26
21.02.2022;484944;161228,52;32094,75
20.06.2022;500655;214970,30;44479,98
11.03.2024;346894;149404,57;22239,54
10.01.2022;410861;152532,84;24585,50
06.03.2023;411217;151040,10;35114,63
17.10.2022;393564;130670,78;23499,19
06.02.2023;423898;152405,49;22408,12
01.04.2024;820527;255036,31;58172,82
16.10.2023;350054;149448,57;33767,85
13.06.2022;723194;296862,37;65449,89
29.07.2024;523887;148108,69;19863,57
15.04.2024;659471;224905,27;63728,21
05.05.2025;842349;295224,09;42696,22
23.09.2024;432432;165205,28;40142,92
10.06.2024;912051;309271,01;74669,45
28.11.2022;615977;238461,34;30818,90
14.10.2024;409875;139731,40;35939,68
29.08.2022;383890;153022,80;29430,44
10.03.2025;368331;161419,79;44387,94
13.10.2025;459037;138166,36;21929,22
24.04.2023;706360;282695,02;79474,24
03.11.2025;535121;161782,57;22003,95
26.02.2024;358757;147718,12;41377,87
27.06.2022;778073;273114,75;52734,78
06.05.2024;672158;305141,80;36352,82
28.02.2022;479197;144087,14;36139,11
24.01.2022;402290;144897,83;31906,52
23.10.2023;283397;129222,44;16512,04
18.03.2024;316636;127475,83;28152,05
20.01.2025;254144;106706,41;30276,53
15.09.2025;450991;180520,27;43635,38
20.01.2025;254144;106706,41;30276,53
16.09.2024;411127;176559,97;23568,97
08.05.2023;1206857;370411,03;63700,85
18.04.2022;708965;252582,48;56696,37
11.07.2022;524148;163174,93;36281,02
10.11.2025;412744;164907,49;46458,51
04.09.2023;529424;148855,22;36880,23
23.05.2022;804792;302742,82;54214,76
28.08.2023;369957;170078,08;35131,51
05.08.2024;468786;155512,12;27161,56
28.10.2024;499831;142975,71;20163,31
20.11.2023;758585;300161,92;74527,25
20.02.2023;471824;166548,09;40344,67
09.12.2024;778641;270987,44;31817,73
16.12.2024;611214;246565,50;33816,24
14.07.2025;329814;134608,35;26412,67
06.10.2025;464591;155390,25;22712,41
27.03.2023;406814;137022,06;26439,04
07.07.2025;296675;123918,98;31027,00
04.03.2024;462746;129031,62;24742,63
12.05.2025;745843;256129,21;33811,97
09.10.2023;379521;152848,11;45995,18
20.03.2023;415659;143842,29;32598,57
03.06.2024;881046;337006,00;89709,91
24.06.2024;576529;222580,96;73400,09
19.05.2025;974803;310581,22;87784,55
25.09.2023;491773;151963,09;34882,02
30.06.2025;621933;244089,15;64422,51
30.09.2024;364254;146225,34;41264,65
21.03.2022;520666;147750,83;29138,06
26.09.2022;368754;153266,36;40050,37
19.06.2023;923826;289644,64;81242,55
13.11.2023;391064;159332,53;45012,68
22.12.2025;278030;129796,36;26612,53
31.10.2022;394303;149953,44;38610,49
02.05.2022;1028308;299826,90;42709,02
10.10.2022;298414;142939,45;29821,24
18.11.2024;867635;274039,20;45934,45
03.01.2022;501964;183286,73;48096,72
22.04.2024;886746;281500,73;82200,88
01.09.2025;372974;120346,64;30344,45
24.11.2025;592894;221368,33;48409,35
19.09.2022;384908;164509,34;36366,58
14.02.2022;435287;141366,16;17867,59
06.11.2023;407290;156506,73;40995,84
18.09.2023;331144;116110,99;27522,90
11.04.2022;682138;299876,04;76897,78
25.08.2025;307821;134005,23;36756,95
13.03.2023;575239;157062,59;42461,08
08.07.2024;440283;140599,88;17865,91
31.07.2023;504640;170610,15;42810,45
01.05.2023;676590;303322,90;80337,33
17.11.2025;772837;239181,53;36662,74
23.06.2025;726305;322249,02;94547,10
25.07.2022;442539;136740,59;43029,65
11.09.2023;387794;147105,21;25710,02
13.02.2023;341570;139800,79;41768,14
04.08.2025;319017;127119,30;35450,54
17.01.2022;380816;107891,64;14050,75
02.12.2024;352643;145607,10;44141,69
29.12.2025;416663;150842,29;28721,02
26.08.2024;404525;146660,23;44641,95
01.07.2024;335043;135109,59;43172,80
15.01.2024;442799;169234,21;25512,22
12.02.2024;326867;138691,54;38067,16
01.12.2025;400062;151041,43;44332,89
19.02.2024;418434;129134,94;22730,08
17.04.2023;887052;372293,30;108007,91
07.02.2022;313163;143858,28;38609,61
22.05.2023;641638;308742,53;86245,75
30.10.2023;364530;111659,33;17592,84
07.08.2023;354463;118976,68;31101,88
17.03.2025;344365;146353,13;42085,55
18.08.2025;419634;165002,13;36928,07
04.07.2022;408417;143406,41;29793,77
01.08.2022;369351;133322,61;37809,94
03.03.2025;505660;164660,06;44344,04
15.07.2024;350239;139396,78;21113,97
08.01.2024;382337;133288,34;16376,20
24.10.2022;398807;152938,65;35523,27
17.02.2025;393627;122621,34;35262,89
06.06.2022;576270;260349,63;51395,29
13.01.2025;435194;148694,93;33121,41
10.02.2025;453039;169592,88;21379,56
13.05.2024;883736;309540,16;86940,46
09.06.2025;868770;296858,62;66117,82
26.05.2025;923063;340925,44;71644,19
21.11.2022;728881;218291,88;32883,90
27.11.2023;914413;281033,97;73927,41
03.02.2025;377623;121367,37;38185,24
11.11.2024;416117;136810,59;19795,20
15.05.2023;894907;351329,30;70675,60
20.10.2025;449913;126311,29;40175,04
14.04.2025;903332;280800,28;62976,93
16.01.2023;329569;144022,29;20142,04
28.04.2025;795459;297818,47;57321,40
07.04.2025;1037450;345729,51;45889,20
21.07.2025;475367;156108,15;44448,41
12.09.2022;404776;141331,28;18375,26
22.09.2025;425814;119899,23;38063,34
12.08.2024;395314;149822,75;24248,86
27.05.2024;682197;269676,46;62672,84
21.04.2025;762584;225402,95;42573,98
10.04.2023;678874;226206,42;38960,99
15.08.2022;450249;129624,86;32391,15
04.11.2024;435069;145873,46;40448,75
26.12.2022;388900;132366,77;26000,37
18.12.2023;948345;297240,60;47972,11
25.11.2024;615523;254344,16;60469,52
07.10.2024;408505;174151,71;27103,47
20.05.2024;902751;271232,86;88521,82
24.07.2023;351057;147010,52;45243,11
29.01.2024;473958;168875,89;33317,96
28.07.2025;294325;114041,91;25118,90
03.04.2023;471798;222670,99;31567,95
09.01.2023;438094;140052,63;25333,09
28.03.2022;376379;131221,81;18884,91
22.01.2024;398972;156494,43;26628,28
03.07.2023;382653;137175,62;25942,90
29.09.2025;461432;137399,80;28319,50
04.04.2022;504137;220585,28;60596,22
27.02.2023;568831;193022,47;31582,77
31.03.2025;461186;142418,93;34798,29
03.10.2022;299440;126751,19;26075,50
11.08.2025;518879;176719,61;39024,93
06.01.2025;504744;145112,12;29686,18
07.11.2022;339583;146473,34;16984,55
29.04.2024;865626;270634,56;43761,21
19.12.2022;573001;275064,99;73599,64
14.03.2022;558391;175775,59;42132,16
05.09.2022;356828;152286,87;24426,91
08.08.2022;383428;168646,99;22233,85
05.12.2022;419828;123995,80;21924,48
27.10.2025;556264;158579,29;32676,59
08.04.2024;892274;343191,63;65295,63
30.12.2024;535819;168774,07;38547,58
