Campaign name;Amount spent (DKK);Impressions;Link clicks;Purchases;Purchase conversion value;date_str;currency
HAVEHJ_Social_Prospecting_Jul_202512;34867,02;557479;6129;192;125048,92;06.12.2025;DKK
Havehjornet_Social_Retargeting_Alm_202207;4756,74;78542;1423;20;12670,17;29.07.2022;DKK
hh_dk_Social_Retargeting_Alm_202310;7690,77;55482;1118;29;23756,23;09.10.2023;DKK
hh_dk_Social_Retargeting_Alm_202410;7574,44;72452;1542;35;18194,39;17.10.2024;DKK
Havehjornet_Social_Retargeting_Havesaeson_202506;11245,34;61025;3278;43;24737,06;26.06.2025;DKK
hh_dk_Social_Prospecting_Alm_202202;25913,86;256474;3491;108;70374,10;21.02.2022;DKK
HH_Social_Prospecting_Alm_202302;26903,36;211394;5757;115;59135,33;24.02.2023;DKK
HH_Social_Prospecting_Alm_202510;5164,97;39830;1643;21;11743,17;23.10.2025;DKK
HH_Social_Retargeting_Alm_202209;13835,77;72157;2690;64;42756,74;30.09.2022;DKK
hh_dk_Social_Prospecting_Havesaeson_202506;7033,88;38630;1161;29;15935,34;25.06.2025;DKK
HAVEHJ_Social_Prospecting_Alm_202508;29147,11;206797;8711;132;72952,73;20.08.2025;DKK
hh_dk_Social_Retargeting_Alm_202209;4838,95;28114;668;18;14230,36;13.09.2022;DKK
HH_Social_Retargeting_Alm_202507;1056,60;88889;2477;37;2934,37;15.07.2025;EUR
HH_Social_Retargeting_Alm_202303;5238,30;27525;974;21;11542,56;15.03.2023;DKK
HAVEHJ_Social_Prospecting_Alm_202309;35571,53;229142;6670;168;101587,40;04.09.2023;DKK
Havehjornet_Social_Prospecting_Havesaeson_202206;6449,28;250431;12070;248;15200,16;06.06.2022;EUR
HAVEHJ_Social_Retargeting_Alm_202508;5124,23;28504;728;19;11351,11;19.08.2025;DKK
HH_Social_Retargeting_Alm_202403_kopi;6797,15;94913;1295;29;17485,58;31.03.2024;DKK
HH_Social_Retargeting_Jul_202312;3547,18;21955;516;14;11045,22;07.12.2023;DKK
HH_Social_Retargeting_Alm_202302;2506,46;215088;2987;74;5107,24;16.02.2023;EUR
hh_dk_Social_Prospecting_Alm_202509;24246,88;162717;6548;112;71519,06;19.09.2025;DKK
HAVEHJ_Social_Retargeting_Havesaeson_202405;9301,36;49409;2197;38;17896,96;02.05.2024;DKK
HAVEHJ_Social_Retargeting_Havesaeson_202304;7538,02;51871;945;37;14446,71;20.04.2023;DKK
hh_dk_Social_Retargeting_Havesaeson_202204;11082,22;81239;1673;42;26830,03;30.04.2022;DKK
HAVEHJ_Social_Prospecting_Alm_202303;35889,28;371946;5567;193;93555,10;22.03.2023;DKK
Havehjornet_Social_Retargeting_Alm_202310;1597,63;84824;2843;55;4362,90;26.10.2023;EUR
Havehjornet_Social_Retargeting_Havesaeson_202404;7371,30;105183;1217;28;18951,03;05.04.2024;DKK
HH_Social_Prospecting_Alm_202203;19132,76;273868;4976;80;65148,44;31.03.2022;DKK
Havehjornet_Social_Prospecting_Havesaeson_202204_kopi;3049,64;190804;3617;114;7469,82;29.04.2022;EUR
Havehjornet_Social_Prospecting_Havesaeson_202304;13736,91;170327;4166;56;35594,85;23.04.2023;DKK
HAVEHJ_Social_Retargeting_Alm_202307;576,91;31972;973;16;1481,49;09.07.2023;EUR
HAVEHJ_Social_Prospecting_BlackFriday_202411;4599,31;38609;603;25;9841,14;02.11.2024;DKK
HH_Social_Retargeting_Alm_202203;16812,58;194532;2547;73;41711,31;13.03.2022;DKK
HH_Social_Prospecting_Alm_202510;8528,45;45308;1108;38;27802,90;13.10.2025;DKK
HAVEHJ_Social_Retargeting_Alm_202207;3875,52;32445;821;16;8679,71;09.07.2022;DKK
hh_dk_Social_Retargeting_Alm_202408_kopi;10689,94;75082;1636;45;34252,51;12.08.2024;DKK
HAVEHJ_Social_Prospecting_Jul_202212_kopi;10031,38;50985;1312;52;35644,74;07.12.2022;DKK
HH_Social_Prospecting_Alm_202409;12912,81;130826;2947;60;35993,18;04.09.2024;DKK
Havehjornet_Social_Prospecting_Havesaeson_202406_kopi;12241,70;82722;2735;52;34360,50;20.06.2024;DKK
hh_dk_Social_Retargeting_Alm_202308_kopi;684,57;53224;665;24;2380,62;10.08.2023;EUR
hh_dk_Social_Prospecting_Jul_202212;14838,80;278724;2434;79;46231,12;21.12.2022;DKK
HAVEHJ_Social_Retargeting_Jul_202512;6065,71;32477;1330;30;15225,76;04.12.2025;DKK
Havehjornet_Social_Prospecting_BlackFriday_202311;25350,65;281036;6692;116;76919,05;18.11.2023;DKK
Havehjornet_Social_Prospecting_Alm_202601;8727,56;135415;1645;47;22163,08;04.01.2026;DKK
hh_dk_Social_Prospecting_Alm_202409;12256,73;74746;2135;69;31866,14;19.09.2024;DKK
HAVEHJ_Social_Retargeting_Alm_202509;5042,69;31625;882;21;13538,08;10.09.2025;DKK
hh_dk_Social_Prospecting_Havesaeson_202206;7378,36;50360;1926;35;20298,24;12.06.2022;DKK
HH_Social_Prospecting_BlackFriday_202411;15264,35;87664;3252;74;36388,14;22.11.2024;DKK
HAVEHJ_Social_Prospecting_Alm_202403;15885,61;164042;2578;70;52237,62;25.03.2024;DKK
HAVEHJ_Social_Prospecting_Alm_202507;1988,55;37558;395;8;5959,59;22.07.2025;DKK
HAVEHJ_Social_Retargeting_Alm_202309;4919,42;56386;1024;19;12464,86;06.09.2023;DKK
Havehjornet_Social_Retargeting_Alm_202210;8931,81;82070;2408;33;40263,94;30.10.2022;DKK
Havehjornet_Social_Prospecting_Havesaeson_202306;10785,64;97890;1550;56;32583,99;10.06.2023;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202304_kopi;18841,95;113404;3319;77;61317,70;08.04.2023;DKK
HAVEHJ_Social_Prospecting_Alm_202409;19902,16;246033;3818;82;43147,53;12.09.2024;DKK
hh_dk_Social_Retargeting_Alm_202508;1516,78;90454;1505;47;3852,30;02.08.2025;EUR
HAVEHJ_Social_Prospecting_Alm_202203;4649,74;311791;7890;172;11501,89;18.03.2022;EUR
Havehjornet_Social_Retargeting_BlackFriday_202511_kopi;542,32;49073;1071;15;1247,06;21.11.2025;EUR
HAVEHJ_Social_Retargeting_Alm_202401;2094,21;12267;452;9;8560,24;26.01.2024;DKK
HAVEHJ_Social_Retargeting_Alm_202202;2218,13;15255;552;9;6107,41;18.02.2022;DKK
hh_dk_Social_Prospecting_Havesaeson_202204;26341,70;193429;4869;133;74875,41;25.04.2022;DKK
Havehjornet_Social_Retargeting_Alm_202507;3690,71;48430;992;13;9119,45;11.07.2025;DKK
Havehjornet_Social_Retargeting_Alm_202408;10159,77;56203;2053;37;34511,90;13.08.2024;DKK
hh_dk_Social_Retargeting_Alm_202402;1519,00;71440;1822;47;3810,00;11.02.2024;EUR
Havehjornet_Social_Retargeting_Havesaeson_202504;5266,99;44879;1323;25;16786,91;20.04.2025;DKK
hh_dk_Social_Prospecting_Havesaeson_202404_kopi;14753,55;112949;2653;68;33659,59;20.04.2024;DKK
Havehjornet_Social_Retargeting_Alm_202210;3916,93;24736;1290;17;11169,95;02.10.2022;DKK
Havehjornet_Social_Prospecting_Havesaeson_202404;2506,56;139892;3924;82;5111,20;22.04.2024;EUR
HH_Social_Retargeting_Jul_202212;12629,03;226591;3131;55;26078,07;23.12.2022;DKK
HH_Social_Retargeting_Jul_202412;1404,93;141210;1445;41;4503,56;02.12.2024;EUR
hh_dk_Social_Prospecting_Jul_202312;5984,17;43068;1166;29;19267,17;27.12.2023;DKK
hh_dk_Social_Prospecting_Alm_202202;1121,86;115024;1602;45;2450,98;09.02.2022;EUR
HH_Social_Prospecting_Alm_202302;15113,19;195937;2125;82;33937,22;09.02.2023;DKK
HH_Social_Retargeting_Havesaeson_202204;1428,04;66719;1889;43;3136,08;22.04.2022;EUR
Havehjornet_Social_Retargeting_Alm_202407;4300,16;41377;655;21;12506,96;18.07.2024;DKK
HH_Social_Prospecting_BlackFriday_202211;1701,16;155974;1902;65;5903,82;21.11.2022;EUR
hh_dk_Social_Retargeting_Alm_202210;4745,26;62708;919;19;12625,03;21.10.2022;DKK
Havehjornet_Social_Prospecting_BlackFriday_202511;10037,00;79117;1548;43;39020,52;27.11.2025;DKK
HAVEHJ_Social_Retargeting_BlackFriday_202311;11230,95;106458;1567;53;21977,60;24.11.2023;DKK
HH_Social_Retargeting_Havesaeson_202206;5402,58;54000;838;26;14883,95;03.06.2022;DKK
HH_Social_Retargeting_Havesaeson_202405_kopi;3174,56;23371;787;13;8517,06;23.05.2024;DKK
hh_dk_Social_Retargeting_Alm_202209;931,91;130526;1501;33;2875,67;05.09.2022;EUR
Havehjornet_Social_Prospecting_Jul_202412;25893,72;179701;3580;132;100323,69;01.12.2024;DKK
hh_dk_Social_Retargeting_Alm_202309;4267,12;35345;825;17;12288,17;09.09.2023;DKK
Havehjornet_Social_Retargeting_Alm_202207;6910,58;66014;1438;28;15183,02;26.07.2022;DKK
HAVEHJ_Social_Prospecting_Havesaeson_202506;12602,58;113939;3335;67;33345,01;29.06.2025;DKK
hh_dk_Social_Prospecting_Alm_202301;5008,99;61462;961;23;11734,47;11.01.2023;DKK
HH_Social_Prospecting_Havesaeson_202304;15128,63;218307;4599;71;44154,03;12.04.2023;DKK
Havehjornet_Social_Prospecting_Havesaeson_202304;20083,06;147228;2659;94;86134,86;21.04.2023;DKK
hh_dk_Social_Retargeting_BlackFriday_202211;7607,66;55644;1038;29;18064,86;19.11.2022;DKK
