booking_start;booking_end;format;by;cost_dkk;currency
29-04-2024;05/05/2024;Storformat;Koebenhavn;107723,20;DKK
12-12-2022;12/18/2022;Citylight;Landsdaekkende;146760,53;DKK
06-10-2025;10/12/2025;Citylight;Koebenhavn;39535,59;DKK
12-12-2022;12/18/2022;Billboard;Aarhus;145225,59;DKK
22-12-2025;12/28/2025;Citylight;Landsdaekkende;55495,17;DKK
06-11-2023;11/12/2023;Citylight;Koebenhavn;396060,95;DKK
16-10-2023;10/22/2023;Bus shelter;Aarhus;234131,16;DKK
28-11-2022;12/04/2022;Billboard;Landsdaekkende;23283,95;EUR
13-02-2023;02/19/2023;Billboard;Aalborg;164713,09;DKK
28-10-2024;11/03/2024;Citylight;Koebenhavn;389501,80;DKK
25-07-2022;07/31/2022;Storformat;Landsdaekkende;20576,17;DKK
11-09-2023;09/17/2023;Billboard;Aalborg;67033,74;DKK
18-03-2024;03/24/2024;Billboard;Landsdaekkende;41420,63;DKK
25-12-2023;12/31/2023;Storformat;Odense;64617,83;DKK
14-08-2023;08/20/2023;Storformat;Koebenhavn;158040,97;DKK
18-12-2023;12/24/2023;Storformat;Aarhus;12596,17;EUR
11-04-2022;04/17/2022;Bus shelter;Aarhus;15752,78;EUR
11-03-2024;03/17/2024;Billboard;Koebenhavn;17003,35;DKK
29-09-2025;10/05/2025;Storformat;Odense;45180,95;DKK
08-07-2024;07/14/2024;Bus shelter;Odense;14643,52;DKK
03-02-2025;02/09/2025;Citylight;Aarhus;132702,22;DKK
21-07-2025;07/27/2025;Bus shelter;Landsdaekkende;18104,75;DKK
16-12-2024;12/22/2024;Citylight;Landsdaekkende;84326,02;DKK
08-04-2024;04/14/2024;Storformat;Landsdaekkende;100226,93;DKK
25-09-2023;10/01/2023;Bus shelter;Koebenhavn;110094,84;DKK
16-06-2025;06/22/2025;Bus shelter;Odense;81122,81;DKK
23-05-2022;05/29/2022;Citylight;Odense;159278,42;DKK
31-07-2023;08/06/2023;Citylight;Odense;95243,08;DKK
23-01-2023;01/29/2023;Bus shelter;Koebenhavn;254148,99;DKK
13-01-2025;01/19/2025;Billboard;Aalborg;11182,68;EUR
11-09-2023;09/17/2023;Storformat;Aarhus;14966,17;EUR
12-09-2022;09/18/2022;Citylight;Aalborg;151944,46;DKK
27-05-2024;06/02/2024;Billboard;Aarhus;107965,86;DKK
21-04-2025;04/27/2025;Storformat;Odense;149821,08;DKK
14-10-2024;10/20/2024;Citylight;Koebenhavn;92992,81;DKK
01-05-2023;05/07/2023;Billboard;Koebenhavn;61905,24;DKK
01-12-2025;12/07/2025;Bus shelter;Aalborg;86440,26;DKK
15-01-2024;01/21/2024;Bus shelter;Aalborg;32989,30;DKK
29-01-2024;02/04/2024;Citylight;Odense;67804,31;DKK
25-08-2025;08/31/2025;Storformat;Koebenhavn;138936,65;DKK
24-03-2025;03/30/2025;Storformat;Koebenhavn;60162,91;DKK
24-10-2022;10/30/2022;Bus shelter;Aalborg;118900,19;DKK
