report_date;line_item;spend_dkk;impressions;clicks;viewable_rate;attributed_revenue;currency
20/12/2022;HAVEHJ_Prog_Display_Jul_202212;22850.04;586707;1333;0.699;41692.47;DKK
27/10/2025;hh_dk_Prog_Display_Alm_202510;33565.45;627772;2231;0.823;39162.84;DKK
02/12/2025;Havehjornet_Prog_Video_Jul_202512;32896.79;380087;1938;0.707;59662.76;DKK
29/09/2023;hh_dk_Prog_Display_Alm_202309;2254.15;235936;1641;0.695;2617.15;EUR
13/09/2022;Havehjornet_Prog_Display_Alm_202209;2914.25;35174;221;0.687;3528.79;DKK
24/10/2022;HAVEHJ_Prog_Video_Alm_202210;1698.02;146590;1514;0.718;2586.23;EUR
02/10/2025;Havehjornet_Prog_Display_Alm_202510;6872.01;95450;678;0.856;8785.93;DKK
28/11/2025;Havehjornet_Prog_Video_BlackFriday_202511;11856.82;146602;1186;0.781;34050.99;DKK
30/04/2023;HH_Prog_Video_Havesaeson_202304;13332.96;312388;1094;0.79;31951.35;DKK
17/02/2025;HAVEHJ_Prog_Display_Alm_202502;8255.67;214117;648;0.876;10933.90;DKK
11/05/2023;hh_dk_Prog_Video_Havesaeson_202305;9727.76;291924;926;0.693;15157.27;DKK
17/03/2022;HH_Prog_Video_Alm_202203;12933.42;215924;760;0.898;22697.03;DKK
23/11/2023;hh_dk_Prog_Video_BlackFriday_202311;32182.99;667302;1986;0.658;61598.72;DKK
21/05/2022;Havehjornet_Prog_Video_Havesaeson_202205;106839.58;1462020;11506;0.875;224545.69;DKK
17/03/2024;HAVEHJ_Prog_Video_Alm_202403;20683.06;260030;1971;0.743;39275.65;DKK
09/04/2025;hh_dk_Prog_Video_Havesaeson_202504;24563.64;322247;1290;0.669;43002.09;DKK
06/07/2025;HH_Prog_Video_Alm_202507;10591.15;163354;1260;0.883;23293.05;DKK
20/04/2024;HH_Prog_Display_Havesaeson_202404;5367.07;100113;546;0.866;5944.56;DKK
10/05/2025;HAVEHJ_Prog_Video_Havesaeson_202505;3940.29;692467;2083;0.893;6516.93;EUR
19/09/2024;HAVEHJ_Prog_Video_Alm_202409;2546.67;246823;1075;0.816;6397.76;EUR
07/06/2025;Havehjornet_Prog_Video_Havesaeson_202506;35363.62;864396;3790;0.845;76792.48;DKK
14/04/2025;HH_Prog_Display_Havesaeson_202504;4193.26;70085;250;0.859;5364.64;DKK
17/01/2024;hh_dk_Prog_Video_Alm_202401;18964.36;230166;1037;0.66;25140.12;DKK
25/04/2025;hh_dk_Prog_Video_Havesaeson_202504;16278.31;452364;1756;0.768;24412.12;DKK
09/04/2022;HAVEHJ_Prog_Video_Havesaeson_202204_kopi;23000.22;403029;1639;0.644;46353.05;DKK
24/08/2023;HAVEHJ_Prog_Display_Alm_202308;1881.74;187300;788;0.846;2269.17;EUR
08/04/2024;HH_Prog_Video_Havesaeson_202404;29252.04;462333;2244;0.622;73238.17;DKK
15/01/2022;hh_dk_Prog_Video_Alm_202201;17784.74;575666;961;0.803;24898.59;DKK
07/12/2024;HH_Prog_Video_Jul_202412;24392.35;515265;1378;0.585;53541.25;DKK
02/01/2024;hh_dk_Prog_Display_Alm_202401;11419.72;224705;1271;0.82;11734.24;DKK
23/06/2022;HAVEHJ_Prog_Video_Havesaeson_202206;1918.57;256103;812;0.824;3182.85;EUR
02/09/2023;Havehjornet_Prog_Display_Alm_202309;1613.62;201289;849;0.828;2037.00;EUR
04/04/2024;HH_Prog_Display_Havesaeson_202404;23273.77;344487;1480;0.551;25895.37;DKK
20/09/2024;Havehjornet_Prog_Display_Alm_202409;19099.28;542630;2280;0.641;22222.93;DKK
18/09/2022;HAVEHJ_Prog_Display_Alm_202209;16780.58;481653;899;0.606;19995.34;DKK
10/03/2024;HH_Prog_Video_Alm_202403;19643.70;559907;1080;0.729;32625.03;DKK
11/02/2024;HAVEHJ_Prog_Display_Alm_202402;15618.57;237429;1460;0.815;23608.13;DKK
04/10/2022;hh_dk_Prog_Video_Alm_202210;13598.76;402160;723;0.558;26489.55;DKK
