uge_start;station;spot_type;grp;pris_dkk;currency
2023-06-12;Kanal5;20 sek;23,40;100257,62;DKK
2024-12-09;Kanal5;30 sek;67,40;281405,74;DKK
2023-05-29;TV2;20 sek;111,90;446148,29;DKK
2022-12-26;Kanal5;20 sek;39,40;164383,26;DKK
2022-01-31;TV2;30 sek;79,60;292189,20;DKK
2025-02-03;Kanal5;15 sek;45,70;203023,59;DKK
2023-01-09;DR1;20 sek;12,60;56864,49;DKK
2023-07-03;DR1;20 sek;6,80;30931,74;DKK
2024-07-08;DK4;20 sek;5,70;26231,10;DKK
2023-12-18;Kanal5;15 sek;33,40;154842,78;DKK
2023-02-27;DR1;30 sek;25,70;106992,23;DKK
2025-04-28;DR1;30 sek;47,60;204389,33;DKK
2025-03-24;DK4;15 sek;80,60;310989,81;DKK
2022-10-17;TV3;30 sek;33,50;127636,24;DKK
2025-05-26;TV3;15 sek;94,40;424179,66;DKK
2025-12-01;TV2;15 sek;58,80;29495,65;EUR
2025-06-02;TV3;15 sek;36,50;22198,19;EUR
2024-05-27;Kanal5;20 sek;86,40;370475,76;DKK
2025-12-29;TV3;15 sek;42,40;172968,03;DKK
2025-05-19;TV3;15 sek;56,90;228842,53;DKK
2023-07-03;TV3;20 sek;3,20;14509,22;DKK
2023-06-19;Kanal5;15 sek;66,50;281946,11;DKK
2025-11-10;TV3;20 sek;62,10;247346,21;DKK
2023-02-13;TV3;30 sek;39,10;158630,88;DKK
2024-03-25;DK4;15 sek;17,40;75745,40;DKK
2025-06-16;TV3;30 sek;20,20;85636,72;DKK
2025-12-15;DR1;30 sek;34,40;156387,40;DKK
2023-10-02;TV2;30 sek;12,30;8106,52;EUR
2025-11-03;Kanal5;20 sek;65,30;272914,91;DKK
2022-08-15;TV2;20 sek;25,90;104781,80;DKK
2023-07-10;TV2;30 sek;8,60;5293,28;EUR
2022-12-12;TV3;30 sek;90,10;386636,26;DKK
2024-11-11;DR1;20 sek;62,90;278652,19;DKK
2022-06-06;TV2;15 sek;85,10;363678,18;DKK
2025-10-13;DK4;30 sek;59,40;254447,44;DKK
2023-01-23;TV2;30 sek;94,70;358540,10;DKK
2022-11-21;TV3;15 sek;59,80;235645,38;DKK
2025-06-23;TV2;30 sek;17,70;79829,47;DKK
2025-09-01;Kanal5;30 sek;127,50;531872,06;DKK
2024-09-02;DK4;20 sek;78,40;426002,01;DKK
2024-10-21;DR1;20 sek;46,20;180267,50;DKK
2022-03-14;TV2;20 sek;20,00;73836,82;DKK
2023-01-30;DK4;30 sek;68,10;303743,24;DKK
2024-01-15;DR1;15 sek;54,60;249097,96;DKK
2023-03-06;TV2;30 sek;15,00;65410,65;DKK
2023-12-25;DK4;30 sek;18,50;87813,34;DKK
2023-06-12;DR1;30 sek;40,20;166731,16;DKK
2024-06-24;TV2;20 sek;7,50;31812,01;DKK
2025-08-25;DK4;15 sek;73,90;314654,39;DKK
2023-11-20;Kanal5;15 sek;80,10;335009,04;DKK
2022-09-05;TV2;20 sek;31,40;18060,44;EUR
2025-12-08;TV3;20 sek;76,60;319101,00;DKK
2023-03-06;Kanal5;20 sek;16,70;71356,97;DKK
2025-05-12;DR1;30 sek;49,70;209351,62;DKK
