week_start,actual_revenue,predicted_revenue,baseline_contrib,media_contrib,contrib_tv_linear,contrib_online_video,contrib_social_prospecting,contrib_social_retargeting,contrib_search_brand,contrib_search_nonbrand,contrib_programmatic_display,contrib_ooh,contrib_leaflets
2022-01-03,11160183.64,10438172.211486269,4355379.93301801,6082792.278468259,201444.49374630547,238829.00050834834,263802.194114372,1012281.7386183679,8862.031608411013,576165.6410177082,0,192282.8667761356,3589124.3120786105
2022-01-10,11375642.420000002,10869525.584934786,4266180.247282786,6603345.337652,389055.3323536666,326045.4987570227,343450.7772531698,1320725.503518626,10317.089734946616,1499925.200227783,0,528736.5640458171,2185089.3717609667
2022-01-17,11797266.39,12482128.148231475,4226295.843411155,8255832.30482032,609284.4265676695,387952.393750578,393280.81822069513,1132493.5757942316,15123.515154168013,2874645.111147033,0,889888.5189259303,1953163.9452600137
2022-01-24,17804624.619999997,15563119.520457968,6731142.865197292,8831976.655260677,843945.2592159703,470207.13332996116,477847.70907448,1827507.885951262,20041.44962642211,1712948.3611193788,0,1711921.854060685,1767557.0028825176
2022-01-31,16487811.400000002,13491020.760589683,4347173.223347852,9143847.537241831,948784.6776963032,558348.0550205284,493936.54136379197,1517378.396139748,22930.550048611694,1455766.8706423738,0,2153086.4958353383,1993615.950495136
2022-02-07,17754675.93,17833349.09006899,6102329.840282634,11731019.249786355,980782.018093951,644073.2009147787,686575.1047200309,2023319.2297083233,40103.41974372689,2684703.331580489,0,2299749.120182239,2371713.8248428158
2022-02-14,16097390.87,16254629.112581387,4738939.543894654,11515689.568686733,1007757.0320138083,649165.6144134174,746902.565801988,2211775.8021416883,51112.43406672687,2249444.595066908,0,2274261.055571192,2325270.469611006
2022-02-21,18231762.5,18504643.42780526,7478790.077674337,11025853.350130923,948620.0430919473,619094.4373810856,798469.7390950056,2037818.1266467453,74026.27881157477,1966931.62904227,0,2208360.635721626,2372532.46034067
2022-02-28,16638809.870000001,15314154.864703817,5501323.459917691,9812831.404786127,784948.646139083,614031.9492742806,994192.1777621807,1713359.7021971676,77342.49516291119,1573054.4805457066,0,1917631.500003458,2138270.453701339
2022-03-07,17201587.8,18904702.019737855,7454709.286785845,11449992.73295201,645667.3653345051,580139.5122366739,1034623.3641344345,2049593.415687311,77778.14342501474,3334893.426930927,0,1547468.8734514418,2179828.6317517017
2022-03-14,17266968.779999997,18632784.80270163,7983083.8410418,10649700.96165983,403367.2751016122,556974.3527777382,916738.0901567668,1949463.1709036734,69162.49881901644,2653106.0048808437,0,1135768.2121830038,2965121.356837176
2022-03-21,16667932.52,15446512.655559203,6742460.040203221,8704052.615355982,508777.8710458834,567986.65873885,940602.2812690145,1705888.550713944,57115.81972557552,2073779.5865136364,0,1021669.1479826287,1828232.6993664496
2022-03-28,16490799.55,16501619.273616739,7305115.484450083,9196503.789166655,660900.8089326823,563990.5740841444,754132.2540770113,1837439.1381632357,50924.55603580694,2103165.555603269,0,1224854.8446422773,2001096.0576282293
2022-04-04,23715142.27,21654233.025317684,7662670.427093282,13991562.598224401,538604.6184633488,581908.7751691962,681065.096739382,1640499.899046321,47213.76980684831,3441710.3131837235,0,1588658.3174510507,5471901.808364531
2022-04-11,24727821.79,25666947.151893187,9419202.782835387,16247744.3690578,982495.4538804421,627621.3114228994,579800.8337466889,1953374.0066188548,45396.68799778521,4780769.754820787,0,2188368.8090281077,5089917.511542234
2022-04-18,28694510.37,30883835.69430242,13029968.020777225,17853867.673525196,1012957.5513472264,639103.4322407857,590024.281328072,2348085.437221349,56884.44592061222,5259304.344544993,0,2319742.915617033,5627765.265305123
2022-04-25,26288462.520000003,22127728.49852746,10688471.930522261,11439256.568005199,1022218.9121325734,688651.115872264,727873.7868717725,2283857.8150423192,70434.39271728799,4137894.46375765,0,2507673.635387519,652.4462238122856
2022-05-02,25378136.630000003,26481691.83236148,9198908.203786343,17282783.628575135,945362.7907562342,688164.2042165984,968760.2768276765,2273114.786903956,80497.51686370575,5217946.0180628775,0,2466353.033491104,4642585.001452982
2022-05-09,25523125.71,24688493.120607436,9353918.645858014,15334574.474749422,997469.2279960342,703152.5085010539,993816.8369220772,2121310.1111719133,81479.124916283,4103441.1502585597,0,2310677.613093202,4023227.9018902984
2022-05-16,25264823.239999995,21892351.140951242,9391160.370330496,12501190.770620747,965012.5577551032,725959.4388754957,914948.8504502324,2146909.527717337,89548.98265693839,5287138.898279037,0,2371343.892261338,328.62262526457266
2022-05-23,29378759.050000004,29784552.013806768,12252088.44972799,17532463.564078778,1051832.480395142,707860.342002691,1017450.195447248,2439567.302220561,87168.0133735382,5034457.22043101,0,2469999.4231571415,4724128.587051448
2022-05-30,26109794.52,25524456.87412621,9108881.85979639,16415575.01432982,1004292.771387186,719717.7639475982,902406.2552349264,2195147.3894358794,95658.0037863507,4043835.8504043305,0,2499323.506775515,4955193.473358036
2022-06-06,27778399.1,28295864.17228716,10886183.835207604,17409680.337079555,992038.622144088,694782.800911564,819816.798897323,2240872.8847632967,94073.8251464899,4726794.947776894,0,2377099.0894661285,5464201.367973769
2022-06-13,19578531.509999998,24967590.09439584,8328258.406838514,16639331.687557325,917445.0578663765,700767.2046924892,714587.745938005,2773476.1092627877,95890.05485463716,4388709.736855341,0,2236781.3660813784,4811674.412006311
2022-06-20,25080917.599999998,23672935.243124556,7847312.810951889,15825622.432172667,734227.1678625556,693970.9909032662,573005.6475075431,2204407.0392231215,99096.47906337498,4858228.0234082565,0,1803565.9178724273,4859121.166332122
2022-06-27,26547234.39,22306441.571536724,9790500.18654234,12515941.384994384,563081.546225767,646225.4489789407,424689.5138258097,1507064.6937051117,89150.6357164132,3892586.9307373646,0,1329377.5321965658,4063765.0836084103
2022-07-04,15935878.07,17295879.013898678,8424176.026296882,8871702.987601796,326589.69860939117,614237.3155895169,475226.8678745072,1743658.0787534388,79863.76308021868,2612690.131335641,0,777305.3997847472,2242131.732574334
2022-07-11,13903625.16,13378011.746571574,6128647.013237635,7249364.73333394,166133.98055140904,567362.2178919907,572944.2871333145,1850168.3680415382,64203.65827319885,1434234.5581981274,0,470243.2353082893,2124074.427936071
2022-07-18,14333962.760000002,12116770.679002684,5556600.034757359,6560170.644245325,128783.87833374731,505152.5694802888,553709.5932984679,2335197.3640118274,52252.01835467408,2675418.7169862445,0,309527.95822309196,128.5455569820118
2022-07-25,13519894.779999997,13333262.26733804,5018474.264886393,8314788.002451646,243830.02588090877,465274.2285565975,644965.7464228891,1609780.5963855046,39682.270093085084,1623634.8984418318,0,329858.5811671928,3357761.655503636
2022-08-01,14443902.77,12893198.61876506,4548006.642636035,8345191.976129025,481186.98684293556,459727.89339487033,842908.2067772617,1932503.8800078179,30859.47618745764,1690881.4922069057,0,578367.1937818868,2328756.8469298887
2022-08-08,13911597.3,13821236.73481734,4131925.31580605,9689311.41901129,646261.5631616167,507754.32181823655,858326.6701259973,1844919.0818484568,28189.661738815146,2097389.431406697,0,1191522.5486727022,2514948.140238768
2022-08-15,12504157.200000001,16047841.823206162,6106572.582265869,9941269.240940293,882438.105040867,509113.1979685105,953229.8248683957,1845210.492576147,28455.07794241369,1408217.30022355,0,1672816.6336557022,2641788.608664708
2022-08-22,14603329.48,16769226.02725156,5173510.737722069,11595715.289529491,922327.7208006884,556145.9327187127,976255.9306518612,1991801.789001713,36854.45107912726,1420479.060006993,0,2193532.9194266093,3498317.485843786
2022-08-29,15124885.950000001,15197810.086703895,5099609.474905824,10098200.61179807,995514.238769938,625697.1703149949,881068.6301758651,1704357.6856002868,47559.4910570022,1458512.5980226984,0,2389335.4923807913,1996155.305476493
2022-09-05,13933126.81,14442932.87715744,3111827.12678382,11331105.75037362,972559.2825367592,645937.5352438878,698686.6571445073,1305099.6853757163,59013.47858919911,1916431.5995751305,0,2383018.4163011364,3350359.0956072845
2022-09-12,14483617.190000001,13025580.965030711,3117041.2315562665,9908539.733474445,973578.1587667638,662564.1025998526,622200.4400409096,1671537.8645876069,71155.1731129486,1616886.448186931,0,2222499.6269831206,2068117.9191963119
2022-09-19,14493885.370000001,13944525.66896296,4986441.253985617,8958084.414977342,821444.8198689495,685028.9234727061,586632.9658631538,1477852.0082309153,83861.80995724737,770007.2719839037,0,1939256.2240682398,2594000.3915322283
2022-09-26,13247071.46,13920409.229824059,3314806.406412283,10605602.823411776,692516.5374055486,681526.4615250474,516838.83053665416,1651395.8133599998,83968.33208844169,2226271.7830121135,0,1510063.6623899476,3243021.4030940235
2022-10-03,13513313.889999999,15422783.63896013,5644640.862705601,9778142.77625453,513045.68720059993,637102.181340552,475031.3470881681,1971204.4221971103,75919.73761150955,2257762.4415498916,0,1201487.2111132524,2646589.748153446
2022-10-10,12318381.98,12022337.426033575,3514713.276499711,8507624.149533864,790052.0515088876,611693.9471763422,442886.5903912439,1604087.0582708665,68106.31433609016,1375268.8850492153,0,718033.1451859141,2897496.1576153045
2022-10-17,12351829.88,16189586.034225719,6862573.028554341,9327013.005671378,855137.9033878413,646622.6919860254,495205.6826927941,1225968.9100430754,60313.73148636615,2610383.430325916,0,1507395.5060980076,1925985.1496513523
