channel,spend_dkk,predicted_contribution_dkk
tv_linear,0,0
tv_linear,38592.705808080806,33118.260767031796
tv_linear,77185.41161616161,87800.29498156834
tv_linear,115778.11742424242,150781.12437134326
tv_linear,154370.82323232322,216350.4610882335
tv_linear,192963.529040404,281255.19537348684
tv_linear,231556.23484848483,343626.92924286315
tv_linear,270148.94065656565,402458.73581524764
tv_linear,308741.64646464644,457287.6228104298
tv_linear,347334.35227272724,507989.10032328375
tv_linear,385927.058080808,554642.6500741356
tv_linear,424519.7638888889,597444.1681001553
tv_linear,463112.46969696967,636649.7781411909
tv_linear,501705.17550505046,672540.4889740826
tv_linear,540297.8813131313,705400.5708150753
tv_linear,578890.587121212,735504.8593716766
tv_linear,617483.2929292929,763111.7931283975
tv_linear,656075.9987373737,788460.0726380324
tv_linear,694668.7045454545,811767.5583561229
tv_linear,733261.4103535353,833231.508503522
tv_linear,771854.116161616,853029.5793429218
tv_linear,810446.8219696969,871321.221304932
tv_linear,849039.5277777778,888249.2423822151
tv_linear,887632.2335858585,903941.3998427409
tv_linear,926224.9393939393,918511.939083917
tv_linear,964817.6452020202,932063.035302529
tv_linear,1003410.3510101009,944686.1168298534
tv_linear,1042003.0568181818,956463.0632524441
tv_linear,1080595.7626262626,967467.2799505664
tv_linear,1119188.4684343433,977764.6555029781
tv_linear,1157781.174242424,987414.4108816716
tv_linear,1196373.880050505,996469.8503765519
tv_linear,1234966.5858585858,1004979.0243217456
tv_linear,1273559.2916666665,1012985.3133125106
tv_linear,1312151.9974747475,1020527.9429409339
tv_linear,1350744.7032828282,1027642.4372885424
tv_linear,1389337.409090909,1034361.0185860121
tv_linear,1427930.11489899,1040712.9596387974
tv_linear,1466522.8207070706,1046724.8948531466
tv_linear,1505115.5265151514,1052421.0949950106
tv_linear,1543708.232323232,1057823.710180661
tv_linear,1582300.938131313,1062952.9850326534
tv_linear,1620893.6439393938,1067827.4494349728
tv_linear,1659486.3497474745,1072464.0878819583
tv_linear,1698079.0555555555,1076878.4900312922
tv_linear,1736671.7613636362,1081084.9847361601
tv_linear,1775264.467171717,1085096.7595399802
tv_linear,1813857.172979798,1088925.9673636248
tv_linear,1852449.8787878787,1092583.8218949812
tv_linear,1891042.5845959594,1096080.682999702
tv_linear,1929635.2904040404,1099426.133306259
tv_linear,1968227.996212121,1102629.0469745689
tv_linear,2006820.7020202018,1105697.6515325268
tv_linear,2045413.4078282828,1108639.5835562742
tv_linear,2084006.1136363635,1111461.9388756307
tv_linear,2122598.8194444445,1114171.3179039892
tv_linear,2161191.525252525,1116773.8666204268
tv_linear,2199784.231060606,1119275.3136693607
tv_linear,2238376.9368686867,1121681.0039886173
tv_linear,2276969.6426767674,1123995.9293291399
tv_linear,2315562.348484848,1126224.7559878966
tv_linear,2354155.0542929294,1128371.8500390237
tv_linear,2392747.76010101,1130441.3003162045
tv_linear,2431340.465909091,1132436.9393711432
tv_linear,2469933.1717171716,1134362.3626082288
tv_linear,2508525.8775252523,1136220.945773704
tv_linear,2547118.583333333,1138015.860958409
tv_linear,2585711.2891414138,1139750.091256222
tv_linear,2624303.994949495,1141426.4442052932
tv_linear,2662896.7007575757,1143047.5641259046
tv_linear,2701489.4065656564,1144615.9434570132
tv_linear,2740082.112373737,1146133.933183088
tv_linear,2778674.818181818,1147603.752433581
tv_linear,2817267.5239898986,1149027.497329111
tv_linear,2855860.22979798,1150407.149141093
tv_linear,2894452.9356060605,1151744.5818249926
tv_linear,2933045.6414141413,1153041.5689815334
tv_linear,2971638.347222222,1154299.7902949573
tv_linear,3010231.0530303027,1155520.8374927551
tv_linear,3048823.7588383835,1156706.2198671065
tv_linear,3087416.464646464,1157857.3693944945
tv_linear,3126009.1704545454,1158975.6454866007
tv_linear,3164601.876262626,1160062.3394025478
tv_linear,3203194.582070707,1161118.6783498314
tv_linear,3241787.2878787876,1162145.829298829
tv_linear,3280379.9936868683,1163144.9025335545
tv_linear,3318972.699494949,1164116.9549593385
tv_linear,3357565.4053030303,1165062.9931863
tv_linear,3396158.111111111,1165983.976405847
tv_linear,3434750.8169191917,1166880.8190759728
tv_linear,3473343.5227272725,1167754.3934297676
tv_linear,3511936.228535353,1168605.5318203568
tv_linear,3550528.934343434,1169435.0289143792
tv_linear,3589121.640151515,1170243.643745112
tv_linear,3627714.345959596,1171032.1016354456
tv_linear,3666307.0517676766,1171801.0960000819
tv_linear,3704899.7575757573,1172551.290035576
tv_linear,3743492.463383838,1173283.3183061562
tv_linear,3782085.169191919,1173997.7882326269
tv_linear,3820677.875,1174695.281491091
online_video,0,0
online_video,6907.365253404039,50607.15187213819
online_video,13814.730506808079,86388.4653606442
online_video,20722.09576021212,117095.6997964538
online_video,27629.461013616157,144527.52356719674
online_video,34536.826267020195,169530.18941300578
online_video,41444.19152042424,192604.0414258406
online_video,48351.55677382828,214082.38833927148
online_video,55258.922027232315,234204.35276466544
online_video,62166.28728063635,253150.3909455304
online_video,69073.65253404039,271061.7788261146
online_video,75981.01778744443,288052.23933044734
online_video,82888.38304084848,304215.33289825165
online_video,89795.74829425251,319629.3925961843
online_video,96703.11354765655,334360.95270908775
online_video,103610.47880106058,348467.209360881
online_video,110517.84405446463,361997.83501020767
online_video,117425.20930786867,374996.3475949536
online_video,124332.5745612727,387501.16420020215
online_video,131239.93981467673,399546.42591389565
online_video,138147.30506808078,411162.6532795757
online_video,145054.67032148482,422377.2740433914
online_video,151962.03557488887,433215.05307614215
online_video,158869.4008282929,443698.44628286525
online_video,165776.76608169696,453847.8946883203
online_video,172684.13133510097,463682.0708928155
online_video,179591.49658850502,473218.08720873756
online_video,186498.86184190906,482471.6726736143
online_video,193406.2270953131,491457.32456365466
online_video,200313.59234871715,500188.43884833145
online_video,207220.95760212117,508677.4231252857
online_video,214128.3228555252,516935.7948810139
online_video,221035.68810892926,524974.2673833885
online_video,227943.0533623333,532802.8250888449
online_video,234850.41861573735,540430.7901121808
online_video,241757.78386914136,547866.8810398033
online_video,248665.1491225454,555119.2651526505
online_video,255572.51437594945,562195.6049513603
online_video,262479.87962935347,569103.0997348606
online_video,269387.24488275754,575848.5228676986
online_video,276294.61013616156,582438.255275952
online_video,283201.97538956563,588878.3156324794
online_video,290109.34064296965,595174.387626393
online_video,297016.70589637366,601331.8446565334
online_video,303924.07114977774,607355.7722423924
online_video,310831.43640318175,613250.9884068213
online_video,317738.8016565858,619022.0622517118
online_video,324646.16690998984,624673.330919616
online_video,331553.5321633939,630208.9151101708
online_video,338460.89741679793,635632.733299534
online_video,345368.26267020195,640948.5147932667
online_video,352275.627923606,646159.8117277588
online_video,359182.99317701004,651270.0101220215
online_video,366090.3584304141,656282.340070149
online_video,372997.7236838181,661199.885154712
online_video,379905.08893722214,666025.5911525959
online_video,386812.4541906262,670762.2740971172
online_video,393719.81944403023,675412.6277535404
online_video,400627.1846974343,679979.2305591856
online_video,407534.5499508383,684464.5520741126
online_video,414441.91520424234,688870.9589837528
online_video,421349.2804576464,693200.7206907771
online_video,428256.6457110504,697456.0145298742
online_video,435164.0109644545,701638.9306358891
online_video,442071.3762178585,705751.4764929023
online_video,448978.74147126253,709795.5811892776
online_video,455886.1067246666,713773.0994014146
online_video,462793.4719780706,717685.8151268883
online_video,469700.8372314747,721535.4451858327
online_video,476608.2024848787,725323.6425077582
online_video,483515.5677382827,729051.9992195207
online_video,490422.9329916868,732722.0495488067
online_video,497330.2982450908,736335.2725563033
online_video,504237.6634984949,739893.0947086163
online_video,511145.0287518989,743396.8923030203
online_video,518052.3940053029,746847.9937542196
online_video,524959.7592587069,750247.6817524884
online_video,531867.1245121111,753597.1953018218
online_video,538774.4897655151,756897.7316460492
online_video,545681.8550189191,760150.448090253
online_video,552589.2202723231,763356.4637242767
online_video,559496.5855257271,766516.8610545908
online_video,566403.9507791313,769632.6875503242
online_video,573311.3160325353,772704.9571088384
online_video,580218.6812859393,775734.6514458277
online_video,587126.0465393433,778722.7214145763
online_video,594033.4117927473,781670.0882586683
online_video,600940.7770461515,784577.6448021434
online_video,607848.1422995555,787446.2565808188
online_video,614755.5075529595,790276.7629182333
online_video,621662.8728063635,793069.9779494415
online_video,628570.2380597675,795826.6915956604
online_video,635477.6033131717,798547.6704925749
online_video,642384.9685665757,801233.6588749217
online_video,649292.3338199797,803885.3794197997
online_video,656199.6990733837,806503.5340509928
online_video,663107.0643267878,809088.8047064499
online_video,670014.4295801918,811641.854070923
online_video,676921.7948335959,814163.3262756474
online_video,683829.1600869999,816653.8475668182
social_prospecting,0,0
social_prospecting,6536.536616161616,4696.981401139538
social_prospecting,13073.073232323231,15223.099177416201
social_prospecting,19609.609848484848,30092.163587703057
social_prospecting,26146.146464646463,48513.779017306966
social_prospecting,32682.683080808078,69882.85019143668
social_prospecting,39219.219696969696,93686.74002907405
social_prospecting,45755.75631313131,119474.0666129538
social_prospecting,52292.292929292926,146841.91131475102
social_prospecting,58828.829545454544,175429.79520956698
social_prospecting,65365.366161616155,204916.2984621542
social_prospecting,71901.90277777777,235016.65155812542
social_prospecting,78438.43939393939,265480.5907269296
social_prospecting,84974.976010101,296090.1930805999
social_prospecting,91511.51262626261,326657.60363937553
social_prospecting,98048.04924242424,357022.65771443915
social_prospecting,104584.58585858585,387050.4410208504
social_prospecting,111121.12247474746,416628.84193339
social_prospecting,117657.65909090909,445666.1487355773
social_prospecting,124194.1957070707,474088.7367737209
social_prospecting,130730.73232323231,501838.8801280856
social_prospecting,137267.26893939392,528872.7119530126
social_prospecting,143803.80555555553,555158.3481553346
social_prospecting,150340.34217171717,580674.181083282
social_prospecting,156876.87878787878,605407.3435243613
social_prospecting,163413.4154040404,629352.3384911661
social_prospecting,169949.952020202,652509.8268337628
social_prospecting,176486.48863636362,674885.5624380859
social_prospecting,183023.02525252523,696489.4634279505
social_prospecting,189559.56186868687,717334.80717534
social_prospecting,196096.09848484848,737437.536856636
social_prospecting,202632.6351010101,756815.6676176869
social_prospecting,209169.1717171717,775488.7810032463
social_prospecting,215705.7083333333,793477.5970680856
social_prospecting,222242.24494949493,810803.6144427076
social_prospecting,228778.78156565654,827488.8095201353
social_prospecting,235315.31818181818,843555.3868214971
social_prospecting,241851.8547979798,859025.5734593108
social_prospecting,248388.3914141414,873921.4514303248
social_prospecting,254924.928030303,888264.8222237314
social_prospecting,261461.46464646462,902077.0989200174
social_prospecting,267998.00126262626,915379.2215791441
social_prospecting,274534.53787878784,928191.5922752414
social_prospecting,281071.0744949495,940534.0266314645
social_prospecting,287607.61111111107,952425.7191471204
social_prospecting,294144.1477272727,963885.2199942337
social_prospecting,300680.68434343435,974930.4212972578
social_prospecting,307217.2209595959,985578.5512025467
social_prospecting,313753.75757575757,995846.1742981684
social_prospecting,320290.29419191915,1005749.1971641406
social_prospecting,326826.8308080808,1015302.8780223025
social_prospecting,333363.3674242424,1024521.8396175642
social_prospecting,339899.904040404,1033420.0846016059
social_prospecting,346436.44065656565,1042011.0128092341
social_prospecting,352972.97727272724,1050307.4399192836
social_prospecting,359509.5138888889,1058321.617078509
social_prospecting,366046.05050505046,1066065.2511404718
social_prospecting,372582.5871212121,1073549.5252337812
social_prospecting,379119.12373737374,1080785.119426812
social_prospecting,385655.6603535353,1087782.2313005596
social_prospecting,392192.19696969696,1094550.5962787867
social_prospecting,398728.73358585854,1101099.5075961316
social_prospecting,405265.2702020202,1107437.8358112236
social_prospecting,411801.80681818177,1113574.047793894
social_prospecting,418338.3434343434,1119516.2251339082
social_prospecting,424874.88005050505,1125272.0819338372
social_prospecting,431411.4166666666,1130848.9819612454
social_prospecting,437947.95328282827,1136253.955145655
social_prospecting,444484.48989898985,1141493.7134141554
social_prospecting,451021.0265151515,1146574.665866329
social_prospecting,457557.5631313131,1151502.9332946208
social_prospecting,464094.0997474747,1156284.3620606153
social_prospecting,470630.63636363635,1160924.5373410694
social_prospecting,477167.17297979794,1165428.795760154
social_prospecting,483703.7095959596,1169802.2374262987
social_prospecting,490240.24621212116,1174049.737393443
social_prospecting,496776.7828282828,1178175.9565674488
social_prospecting,503313.31944444444,1182185.3520790127
social_prospecting,509849.856060606,1186082.1871447086
social_prospecting,516386.39267676766,1189870.54043783
social_prospecting,522922.92929292924,1193554.3149905452
social_prospecting,529459.4659090908,1197137.246648574
social_prospecting,535996.0025252525,1200622.9120991584
social_prospecting,542532.5391414141,1204014.7364925726
social_prospecting,549069.0757575757,1207316.0006768266
social_prospecting,555605.6123737374,1210529.848064557
social_prospecting,562142.148989899,1213659.2911504263
social_prospecting,568678.6856060605,1216707.2176966323
social_prospecting,575215.2222222221,1219676.3966034204
social_prospecting,581751.7588383838,1222569.4834807585
social_prospecting,588288.2954545454,1225389.0259366224
social_prospecting,594824.832070707,1228137.4685966289
social_prospecting,601361.3686868687,1230817.1578690517
social_prospecting,607897.9053030303,1233430.3464685853
social_prospecting,614434.4419191919,1235979.1977115571
social_prospecting,620970.9785353534,1238465.7895946505
social_prospecting,627507.5151515151,1240892.1186685918
social_prospecting,634044.0517676767,1243260.1037176608
social_prospecting,640580.5883838383,1245571.5892553113
social_prospecting,647117.125,1247828.3488456642
social_retargeting,0,0
social_retargeting,2318.605027787879,1461.518478891397
social_retargeting,4637.210055575758,6849.197080654121
social_retargeting,6955.815083363637,16877.024445389477
social_retargeting,9274.420111151516,31937.491404897602
social_retargeting,11593.025138939394,52263.46150516073
social_retargeting,13911.630166727275,77972.0609199675
social_retargeting,16230.235194515153,109084.60231770684
social_retargeting,18548.84022230303,145538.67433029265
social_retargeting,20867.44525009091,187197.43599756202
