draw_seed,cv_rmse
121,2558576.315304679
278,2565056.884825054
118,2567710.8342403653
262,2579810.813467129
157,2594332.926368636
51,2598551.334130533
228,2602519.314492106
109,2603679.94285686
229,2604451.226780395
245,2604674.2186113815
225,2604735.133753221
289,2608311.5584198735
280,2608616.9121029912
154,2613106.467197743
263,2614607.2331154295
160,2615567.13097902
241,2615593.254303706
86,2620807.173221947
67,2621188.661901887
133,2623747.91672511
169,2624782.588139415
203,2624977.4880182124
134,2633732.337059289
268,2640987.081417921
136,2641448.046530032
194,2641470.74761849
75,2646586.806677045
69,2649179.6626481125
178,2652127.5978615424
153,2652281.5820504874
277,2654486.13646192
82,2654505.3906554775
187,2654719.7716908357
196,2656937.5005516903
244,2659267.5458417134
269,2660685.2826960017
117,2661126.782004497
168,2662963.0308185094
254,2666452.952507192
64,2666854.9951636046
193,2669683.448825805
186,2670763.718575073
231,2671649.7972563207
128,2672645.28318772
84,2679455.9335899535
252,2679568.9339962723
144,2682700.691691232
43,2684064.0632764036
60,2684309.3442431754
204,2685130.2369691697
50,2689654.812523075
236,2689964.368673137
108,2691607.1618029373
90,2699217.05329216
238,2700371.942750099
68,2703526.794893778
137,2706038.95947176
175,2706830.696272544
102,2709245.745708052
55,2710315.481550723
173,2713718.0869866894
44,2716377.130881571
211,2717723.84479605
287,2719844.191403058
171,2722004.834648237
251,2726492.0584514565
218,2733486.367079079
283,2734620.2433561124
285,2737200.122152967
190,2737760.514063251
143,2739275.9989588847
210,2739301.587471939
219,2740007.82053554
131,2740091.402185268
142,2745212.5420406177
209,2749959.6352486163
227,2750086.8705712706
174,2753453.190108341
83,2753910.6577704973
200,2758588.0319993007
265,2759505.5555858826
159,2762047.5754587436
258,2762123.462724295
77,2763810.4053175054
195,2766807.0722473813
105,2768330.155653124
119,2770488.5518648988
286,2771108.2605343573
57,2772808.5456775404
59,2774140.032550273
266,2774444.331322623
279,2774649.337046636
132,2777025.1360738673
242,2778025.70493067
191,2785710.4472246817
239,2787632.2601051726
81,2789986.871421999
49,2791843.741969439
126,2792625.3560570325
100,2795421.0351199624
127,2798149.111669432
150,2798746.796891787
115,2799550.549492193
93,2801174.5293148155
152,2804081.7773853326
148,2806215.5022946014
291,2808990.157924569
288,2815308.1020627585
79,2820300.915643773
58,2823442.7456865376
250,2826365.8952390836
230,2828429.3756890395
107,2831382.3381346273
101,2831691.962373125
202,2834468.40923284
184,2837619.517287916
65,2839160.7840381926
284,2843074.2266843575
91,2844648.421022851
167,2844710.0150879524
71,2845013.012763311
45,2848162.347966507
276,2851459.8621992366
135,2852821.787937917
123,2854658.3289505574
66,2858501.512721984
290,2861989.3562490037
85,2864145.571155496
56,2864713.0523114307
282,2866282.5231073373
259,2866304.277386985
215,2868884.655022871
125,2876263.0886667934
176,2879636.5512620136
149,2880245.532917656
273,2881664.3682280267
272,2884721.8388235183
99,2885570.839282603
235,2888868.341041627
92,2889915.2648472833
261,2890194.639839958
164,2894547.6325796437
281,2903251.176814694
163,2912421.00167951
292,2917802.595170465
246,2919267.1858358798
141,2921940.8033038904
226,2927191.7499968708
260,2929006.0856072926
271,2931881.178608383
255,2938693.7197628664
192,2947684.0642913417
256,2947913.062775392
198,2948615.16489619
177,2949879.7356846672
161,2952790.061811396
270,2953995.8346475074
249,2957743.74433169
112,2960140.0223884135
106,2962951.860276617
185,2963317.4308982086
129,2964722.6491545327
88,2969567.1592089394
217,2972366.5084464154
224,2973890.6263624867
116,2974949.425052256
180,2976117.018205876
197,2978170.2102579
96,2979937.8216866096
47,2981400.484867394
156,2981854.217883214
165,2988161.956050499
240,2988633.043654632
103,2993881.2416276187
208,2995434.557692694
151,2995967.329797658
214,2998663.802920545
179,3003432.4637665628
97,3006530.217420754
267,3007943.757241889
155,3010032.841649706
207,3011512.626221988
114,3019410.846772746
189,3019963.4396225596
89,3021664.8131381706
220,3022606.798621221
205,3023605.4879544596
182,3027501.1697521172
104,3033443.3086700025
53,3041399.049954443
124,3042675.484087439
183,3046874.2842508205
48,3047917.5889138863
166,3057199.0243406924
234,3058003.041639041
233,3058348.471074314
223,3058357.730568289
61,3062288.345938419
147,3063152.230645704
74,3068632.102427361
80,3072152.0977249825
201,3077861.242251446
95,3081225.7830367708
170,3081298.7434927463
113,3082422.3953086473
140,3084305.0459473706
257,3085021.7261553593
247,3087299.8596089
222,3088452.4587545497
162,3089048.0428813617
138,3089957.187325635
221,3090799.444020787
274,3092734.0168981026
73,3097677.0516405
139,3103070.3977045408
264,3123794.806160803
188,3127191.404775309
54,3129107.2335716938
253,3140277.544670371
98,3156600.7905110717
206,3164939.0783669315
122,3166005.599651237
212,3169451.5771395504
87,3185518.4118526233
181,3186035.950154196
62,3187266.7699235445
72,3193368.230691947
52,3193412.165122294
237,3193434.4381749206
232,3197291.435609612
70,3200695.9391018036
199,3206513.475778952
216,3210086.657221276
120,3216926.4503762694
94,3218697.691431765
46,3237972.057055779
78,3245226.4231914147
248,3253507.3784356792
145,3299496.750197095
172,3330049.8010757896
275,3331656.37613704
213,3337472.297478019
158,3354951.9870905904
146,3429304.3281554556
111,3485444.0349467206
63,3489116.2085832856
243,3537790.8475594684
76,3692431.8567505777
110,3756489.8825367615
130,3807540.7037128196
