parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
eff1_Intercept,0.0792745234749,0.03313157443676079,0.015558892925000003,0.1471999585,1.0018623721821251,2413.2080470265046,1180.189307366588
eff2_Intercept,0.03725641704752925,0.026317031525290753,0.0017658934875000023,0.09958310227500006,1.0007452882193906,2238.264428091604,1267.201905300669
eff3_Intercept,0.03385645282749675,0.023901107971765197,0.0016681600650000012,0.09013864910000002,1.0008990749002094,2036.5210823257964,1299.2598094234836
eff4_Intercept,0.035652038199111,0.02486499047442086,0.0016823402900000006,0.09360128302500006,1.0000315524165544,2584.4383756786765,1394.0175645416803
eff5_Intercept,0.038442813084358,0.025837863675992598,0.0022051626425000034,0.09655280467500003,0.9998022540780901,2440.0234766436993,1452.2025123247508
eff6_Intercept,0.0631971243099075,0.03211151792634754,0.007721294420000002,0.1309038845,1.000016596242738,2328.008918813884,1514.2554272679565
eff7_Intercept,0.03141931516733075,0.023598331273255724,9.852222552500021e-4,0.08716252555000001,0.9993828540938227,2505.1901231755946,1466.105002830926
eff8_Intercept,0.093964651064275,0.0350401545096672,0.022398476775000037,0.1632972905,1.0011788071272145,2031.854778805917,912.4243594917691
eff9_Intercept,0.07749718397158326,0.03513334951926684,0.014498477400000005,0.15013331925000004,1.0033654710717337,1825.5322081918,1080.7092796745114
baseline_Intercept,1.7126769914062725,0.9818909987576845,-0.21364705374999882,3.658717257500002,1.0031466647803295,2112.4076307157607,2342.094839691659
baseline_t,0.001324882270689975,6.406734093700894e-4,4.6291067225000416e-5,0.0025642083475,1.0017059472146017,2362.773979973854,2327.5077039253083
baseline_fourier_sin1,0.17937382007025,0.024842496304588953,0.13070793350000004,0.22729699425,1.000100371199942,2080.1728294898107,2927.197595811721
baseline_fourier_cos1,-0.1386948692346,0.0410952266425656,-0.21789816125,-0.057765680049999955,1.0000199573901305,2043.4209719282678,2510.3348419083222
baseline_fourier_sin2,-0.1564593954685,0.017580075348303505,-0.19203458124999997,-0.12275574975,1.000039961067573,2883.2626861588233,2860.9535009715873
baseline_fourier_cos2,0.04077087774687075,0.015257038742110087,0.011008434350000004,0.07083338582500001,1.0009045477893024,3250.171846978593,3139.0488619211096
baseline_promo_depth_pct,0.007874383777275,6.58572509289639e-4,0.0066012320075,0.00919433282,1.0008014689692375,3955.5401274755895,3508.988677757151
baseline_temperature_c,0.00450050925126579,0.005289204360784753,-0.005821145815,0.014904608075,0.9999911379015932,2024.336979842275,2750.6222187828503
baseline_precipitation_mm,-2.6304813112041503e-4,8.142148187721711e-4,-0.0018381947774999989,0.0013411925725,1.0020416504220901,4119.654083347348,2538.424983888989
baseline_consumer_confidence,3.71073695926e-4,0.0016908067617947638,-0.0028876988525,0.0037684819575000005,1.0000715704337595,3484.4352057031206,3260.009277997662
baseline_cpi_index,-0.01696862381229175,0.010066767963630773,-0.036880904274999994,0.002310996267500002,1.0019603578498546,2147.052984339542,2418.108663546998
baseline_n_stores,0.0071788787441176,0.005194268612377461,-0.003069073662499998,0.017536204475,0.9995210965759447,4142.639456270416,3001.373116006632
baseline_is_easter_week,0.10987623596002125,0.05405107007958333,0.005506990537500033,0.21613275024999998,1.001460473572649,3027.5367786759793,2731.5121715722516
baseline_is_ascension_week,0.03143836452202048,0.07076366984845467,-0.10542379599999999,0.173393711,1.0018884998177056,3752.0259536806807,3059.718557529333
baseline_is_whitmonday_week,0.07692906979023925,0.06807220704912427,-0.053666963049999974,0.21333958150000004,1.0004062575411596,3379.354730738315,2810.4229397957924
baseline_is_great_prayer_week,0.07410470324974025,0.09483438903128621,-0.10942741749999986,0.26183043475,1.0006057004376738,3759.3178502459477,3274.3567431721963
baseline_is_christmas_week,-0.16847676600295,0.06042890827521976,-0.285736717,-0.05132995864999999,1.0003640948153276,3376.540968131989,2944.480130445103
