model,rmse,mape_pct,r2,bias_pct,fold
xgboost,3367156.229075506,12.513222934353092,0.654464667455378,4.085350180987103,1
ranger (random forest),3306640.672199484,11.214853841450223,0.6667731906437868,-4.954534029771587,1
xgboost,2149080.4442840284,9.85292412495467,0.27489030219536315,0.30869812381694256,2
ranger (random forest),1932725.5784372888,8.466753724888756,0.4135395117807913,1.0674761339034584,2
xgboost,4069647.766736312,12.187995844509482,-0.9781419916068508,9.048002166254268,3
ranger (random forest),5342551.3239254365,15.741317170679858,-2.4091116427282535,14.465241082413224,3
xgboost,1660256.0218385994,7.547473851530836,-0.22196586118487138,-2.1319794510061394,4
ranger (random forest),1593660.5511327442,6.380493970567532,-0.12590199716393036,-4.551754353309529,4
xgboost,3507943.6345434547,8.789165717167839,0.8043160254550437,4.117138968114788,5
ranger (random forest),3873579.457906841,9.129224931783117,0.7613975022477203,3.5550829647377125,5
xgboost,1618342.3153251065,7.656970085152739,0.31526516522105685,2.948466058212978,6
ranger (random forest),1555783.3315438887,7.569410157265723,0.367180474087927,1.6471223035972427,6
xgboost,2250714.8180866316,6.224456426217559,0.6319044172460427,4.3295877729753585,7
ranger (random forest),2637681.1891397173,7.38249967295048,0.49444981963661794,4.8668334903265364,7
