municipality,treated,week_index,week_start,is_post,week_rel,revenue_pc
Albertslund,FALSE,1,2024-08-26,FALSE,-12,3.5762344277470763
Alleroed,FALSE,1,2024-08-26,FALSE,-12,3.4219980686484583
Ballerup,FALSE,1,2024-08-26,FALSE,-12,3.1382677653566877
Bornholm,FALSE,1,2024-08-26,FALSE,-12,3.548986272937675
Broendby,TRUE,1,2024-08-26,FALSE,-12,3.166665434932415
Dragoer,TRUE,1,2024-08-26,FALSE,-12,3.2348282457766673
Egedal,FALSE,1,2024-08-26,FALSE,-12,3.5474648328488843
Fredensborg,FALSE,1,2024-08-26,FALSE,-12,3.4821597442927046
Frederiksberg,FALSE,1,2024-08-26,FALSE,-12,3.1638461035800547
Frederikssund,TRUE,1,2024-08-26,FALSE,-12,3.2891269979865827
Furesoe,FALSE,1,2024-08-26,FALSE,-12,3.4806924003042954
Gentofte,TRUE,1,2024-08-26,FALSE,-12,3.433803218794247
Gladsaxe,FALSE,1,2024-08-26,FALSE,-12,3.306079167629637
Glostrup,TRUE,1,2024-08-26,FALSE,-12,3.2957381298135884
Gribskov,TRUE,1,2024-08-26,FALSE,-12,3.2978337933416166
Halsnaes,FALSE,1,2024-08-26,FALSE,-12,3.4299101536201015
Helsingoer,TRUE,1,2024-08-26,FALSE,-12,3.7420467565908053
Herlev,FALSE,1,2024-08-26,FALSE,-12,3.178142666875486
Hilleroed,FALSE,1,2024-08-26,FALSE,-12,3.958818611207404
Hvidovre,FALSE,1,2024-08-26,FALSE,-12,3.719551406173292
Hoeje-Taastrup,FALSE,1,2024-08-26,FALSE,-12,3.4264675814827625
Hoersholm,FALSE,1,2024-08-26,FALSE,-12,3.5734138869322076
Ishoej,FALSE,1,2024-08-26,FALSE,-12,3.2718094196325187
Koebenhavn,TRUE,1,2024-08-26,FALSE,-12,3.352970893477311
Lyngby-Taarbaek,TRUE,1,2024-08-26,FALSE,-12,3.4640505358341662
Rudersdal,TRUE,1,2024-08-26,FALSE,-12,3.1230400237555673
Roedovre,TRUE,1,2024-08-26,FALSE,-12,3.3512220114279097
Taarnby,TRUE,1,2024-08-26,FALSE,-12,3.7152010277899494
Vallensbaek,FALSE,1,2024-08-26,FALSE,-12,3.655389328763115
